realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,146376
2019-12-06,2019-12-06,1992-02-01,147079
2019-12-06,2019-12-06,1992-03-01,159336
2019-12-06,2019-12-06,1992-04-01,163669
2019-12-06,2019-12-06,1992-05-01,170068
2019-12-06,2019-12-06,1992-06-01,168663
2019-12-06,2019-12-06,1992-07-01,169890
2019-12-06,2019-12-06,1992-08-01,170364
2019-12-06,2019-12-06,1992-09-01,164617
2019-12-06,2019-12-06,1992-10-01,173655
2019-12-06,2019-12-06,1992-11-01,171547
2019-12-06,2019-12-06,1992-12-01,208838
2019-12-06,2019-12-06,1993-01-01,153221
2019-12-06,2019-12-06,1993-02-01,150087
2019-12-06,2019-12-06,1993-03-01,170439
2019-12-06,2019-12-06,1993-04-01,176456
2019-12-06,2019-12-06,1993-05-01,182231
2019-12-06,2019-12-06,1993-06-01,181535
2019-12-06,2019-12-06,1993-07-01,183682
2019-12-06,2019-12-06,1993-08-01,183318
2019-12-06,2019-12-06,1993-09-01,177406
2019-12-06,2019-12-06,1993-10-01,182737
2019-12-06,2019-12-06,1993-11-01,187443
2019-12-06,2019-12-06,1993-12-01,224540
2019-12-06,2019-12-06,1994-01-01,161349
2019-12-06,2019-12-06,1994-02-01,162841
2019-12-06,2019-12-06,1994-03-01,192319
2019-12-06,2019-12-06,1994-04-01,189569
2019-12-06,2019-12-06,1994-05-01,194927
2019-12-06,2019-12-06,1994-06-01,197946
2019-12-06,2019-12-06,1994-07-01,193355
2019-12-06,2019-12-06,1994-08-01,202388
2019-12-06,2019-12-06,1994-09-01,193954
2019-12-06,2019-12-06,1994-10-01,197956
2019-12-06,2019-12-06,1994-11-01,202520
2019-12-06,2019-12-06,1994-12-01,241111
2019-12-06,2019-12-06,1995-01-01,175344
2019-12-06,2019-12-06,1995-02-01,172138
2019-12-06,2019-12-06,1995-03-01,201279
2019-12-06,2019-12-06,1995-04-01,196039
2019-12-06,2019-12-06,1995-05-01,210478
2019-12-06,2019-12-06,1995-06-01,211844
2019-12-06,2019-12-06,1995-07-01,203411
2019-12-06,2019-12-06,1995-08-01,214248
2019-12-06,2019-12-06,1995-09-01,202122
2019-12-06,2019-12-06,1995-10-01,204044
2019-12-06,2019-12-06,1995-11-01,212190
2019-12-06,2019-12-06,1995-12-01,247491
2019-12-06,2019-12-06,1996-01-01,185019
2019-12-06,2019-12-06,1996-02-01,192380
2019-12-06,2019-12-06,1996-03-01,212110
2019-12-06,2019-12-06,1996-04-01,211718
2019-12-06,2019-12-06,1996-05-01,226936
2019-12-06,2019-12-06,1996-06-01,217511
2019-12-06,2019-12-06,1996-07-01,218111
2019-12-06,2019-12-06,1996-08-01,226062
2019-12-06,2019-12-06,1996-09-01,209250
2019-12-06,2019-12-06,1996-10-01,222663
2019-12-06,2019-12-06,1996-11-01,223953
2019-12-06,2019-12-06,1996-12-01,258081
2019-12-06,2019-12-06,1997-01-01,200389
2019-12-06,2019-12-06,1997-02-01,197556
2019-12-06,2019-12-06,1997-03-01,225133
2019-12-06,2019-12-06,1997-04-01,220329
2019-12-06,2019-12-06,1997-05-01,234190
2019-12-06,2019-12-06,1997-06-01,227365
2019-12-06,2019-12-06,1997-07-01,231521
2019-12-06,2019-12-06,1997-08-01,235252
2019-12-06,2019-12-06,1997-09-01,222807
2019-12-06,2019-12-06,1997-10-01,232251
2019-12-06,2019-12-06,1997-11-01,228284
2019-12-06,2019-12-06,1997-12-01,271054
2019-12-06,2019-12-06,1998-01-01,207853
2019-12-06,2019-12-06,1998-02-01,203863
2019-12-06,2019-12-06,1998-03-01,230313
2019-12-06,2019-12-06,1998-04-01,234503
2019-12-06,2019-12-06,1998-05-01,245027
2019-12-06,2019-12-06,1998-06-01,244067
2019-12-06,2019-12-06,1998-07-01,241431
