realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,9716
2019-12-06,2019-12-06,1992-02-01,9712
2019-12-06,2019-12-06,1992-03-01,9669
2019-12-06,2019-12-06,1992-04-01,9862
2019-12-06,2019-12-06,1992-05-01,9755
2019-12-06,2019-12-06,1992-06-01,9915
2019-12-06,2019-12-06,1992-07-01,9957
2019-12-06,2019-12-06,1992-08-01,10141
2019-12-06,2019-12-06,1992-09-01,10154
2019-12-06,2019-12-06,1992-10-01,10174
2019-12-06,2019-12-06,1992-11-01,10076
2019-12-06,2019-12-06,1992-12-01,10318
2019-12-06,2019-12-06,1993-01-01,10581
2019-12-06,2019-12-06,1993-02-01,10150
2019-12-06,2019-12-06,1993-03-01,9916
2019-12-06,2019-12-06,1993-04-01,10257
2019-12-06,2019-12-06,1993-05-01,10386
2019-12-06,2019-12-06,1993-06-01,10411
2019-12-06,2019-12-06,1993-07-01,10593
2019-12-06,2019-12-06,1993-08-01,10406
2019-12-06,2019-12-06,1993-09-01,10549
2019-12-06,2019-12-06,1993-10-01,10449
2019-12-06,2019-12-06,1993-11-01,10475
2019-12-06,2019-12-06,1993-12-01,10442
2019-12-06,2019-12-06,1994-01-01,10450
2019-12-06,2019-12-06,1994-02-01,10587
2019-12-06,2019-12-06,1994-03-01,10806
2019-12-06,2019-12-06,1994-04-01,10554
2019-12-06,2019-12-06,1994-05-01,10451
2019-12-06,2019-12-06,1994-06-01,10612
2019-12-06,2019-12-06,1994-07-01,10672
2019-12-06,2019-12-06,1994-08-01,10839
2019-12-06,2019-12-06,1994-09-01,10674
2019-12-06,2019-12-06,1994-10-01,11000
2019-12-06,2019-12-06,1994-11-01,10983
2019-12-06,2019-12-06,1994-12-01,10952
2019-12-06,2019-12-06,1995-01-01,10939
2019-12-06,2019-12-06,1995-02-01,10582
2019-12-06,2019-12-06,1995-03-01,10850
2019-12-06,2019-12-06,1995-04-01,10796
2019-12-06,2019-12-06,1995-05-01,10976
2019-12-06,2019-12-06,1995-06-01,10948
2019-12-06,2019-12-06,1995-07-01,10824
2019-12-06,2019-12-06,1995-08-01,10813
2019-12-06,2019-12-06,1995-09-01,11198
2019-12-06,2019-12-06,1995-10-01,10882
2019-12-06,2019-12-06,1995-11-01,11269
2019-12-06,2019-12-06,1995-12-01,11124
2019-12-06,2019-12-06,1996-01-01,11105
2019-12-06,2019-12-06,1996-02-01,11341
2019-12-06,2019-12-06,1996-03-01,11376
2019-12-06,2019-12-06,1996-04-01,11422
2019-12-06,2019-12-06,1996-05-01,11504
2019-12-06,2019-12-06,1996-06-01,11365
2019-12-06,2019-12-06,1996-07-01,11316
2019-12-06,2019-12-06,1996-08-01,11360
2019-12-06,2019-12-06,1996-09-01,11534
2019-12-06,2019-12-06,1996-10-01,11577
2019-12-06,2019-12-06,1996-11-01,11318
2019-12-06,2019-12-06,1996-12-01,11435
2019-12-06,2019-12-06,1997-01-01,11513
2019-12-06,2019-12-06,1997-02-01,11468
2019-12-06,2019-12-06,1997-03-01,11623
2019-12-06,2019-12-06,1997-04-01,11195
2019-12-06,2019-12-06,1997-05-01,11413
2019-12-06,2019-12-06,1997-06-01,11643
2019-12-06,2019-12-06,1997-07-01,11735
2019-12-06,2019-12-06,1997-08-01,11828
2019-12-06,2019-12-06,1997-09-01,11845
2019-12-06,2019-12-06,1997-10-01,11881
2019-12-06,2019-12-06,1997-11-01,11936
2019-12-06,2019-12-06,1997-12-01,12110
2019-12-06,2019-12-06,1998-01-01,12154
2019-12-06,2019-12-06,1998-02-01,12199
2019-12-06,2019-12-06,1998-03-01,12164
2019-12-06,2019-12-06,1998-04-01,12459
2019-12-06,2019-12-06,1998-05-01,12304
2019-12-06,2019-12-06,1998-06-01,12447
2019-12-06,2019-12-06,1998-07-01,12559
2019-12-06,2019-12-06,1998-08-01,12460
2019-12-06,2019-12-06,1998-09-01,12180
2019-12-06,2019-12-06,1998-10-01,12540
2019-12-06,2019-12-06,1998-11-01,12736
2019-12-06,2019-12-06,1998-12-01,12746
2019-12-06,2019-12-06,1999-01-01,12897
2019-12-06,2019-12-06,1999-02-01,12920
2019-12-06,2019-12-06,1999-03-01,13075
2019-12-06,2019-12-06,1999-04-01,13139
2019-12-06,2019-12-06,1999-05-01,13373
2019-12-06,2019-12-06,1999-06-01,13373
2019-12-06,2019-12-06,1999-07-01,13270
2019-12-06,2019-12-06,1999-08-01,13404
2019-12-06,2019-12-06,1999-09-01,13381
2019-12-06,2019-12-06,1999-10-01,13400
2019-12-06,2019-12-06,1999-11-01,13416
2019-12-06,2019-12-06,1999-12-01,13573
2019-12-06,2019-12-06,2000-01-01,13301
2019-12-06,2019-12-06,2000-02-01,13532
2019-12-06,2019-12-06,2000-03-01,13818
2019-12-06,2019-12-06,2000-04-01,13801
2019-12-06,2019-12-06,2000-05-01,14027
2019-12-06,2019-12-06,2000-06-01,13864
2019-12-06,2019-12-06,2000-07-01,13722
2019-12-06,2019-12-06,2000-08-01,14072
2019-12-06,2019-12-06,2000-09-01,14366
2019-12-06,2019-12-06,2000-10-01,14231
2019-12-06,2019-12-06,2000-11-01,14294
2019-12-06,2019-12-06,2000-12-01,14084
2019-12-06,2019-12-06,2001-01-01,14135
2019-12-06,2019-12-06,2001-02-01,14166
2019-12-06,2019-12-06,2001-03-01,13801
2019-12-06,2019-12-06,2001-04-01,14217
2019-12-06,2019-12-06,2001-05-01,13950
2019-12-06,2019-12-06,2001-06-01,13804
2019-12-06,2019-12-06,2001-07-01,13994
2019-12-06,2019-12-06,2001-08-01,14171
2019-12-06,2019-12-06,2001-09-01,13286
2019-12-06,2019-12-06,2001-10-01,13973
2019-12-06,2019-12-06,2001-11-01,13970
2019-12-06,2019-12-06,2001-12-01,14126
2019-12-06,2019-12-06,2002-01-01,14220
2019-12-06,2019-12-06,2002-02-01,14357
2019-12-06,2019-12-06,2002-03-01,14436
2019-12-06,2019-12-06,2002-04-01,14410
2019-12-06,2019-12-06,2002-05-01,14220
2019-12-06,2019-12-06,2002-06-01,14366
2019-12-06,2019-12-06,2002-07-01,14200
2019-12-06,2019-12-06,2002-08-01,14338
2019-12-06,2019-12-06,2002-09-01,13966
2019-12-06,2019-12-06,2002-10-01,14625
2019-12-06,2019-12-06,2002-11-01,14456
2019-12-06,2019-12-06,2002-12-01,14714
2019-12-06,2019-12-06,2003-01-01,14565
2019-12-06,2019-12-06,2003-02-01,14142
2019-12-06,2019-12-06,2003-03-01,14465
2019-12-06,2019-12-06,2003-04-01,14434
2019-12-06,2019-12-06,2003-05-01,14651
2019-12-06,2019-12-06,2003-06-01,14894
2019-12-06,2019-12-06,2003-07-01,15141
2019-12-06,2019-12-06,2003-08-01,15089
2019-12-06,2019-12-06,2003-09-01,15175
2019-12-06,2019-12-06,2003-10-01,15067
2019-12-06,2019-12-06,2003-11-01,15338
2019-12-06,2019-12-06,2003-12-01,15456
2019-12-06,2019-12-06,2004-01-01,15513
2019-12-06,2019-12-06,2004-02-01,15687
2019-12-06,2019-12-06,2004-03-01,15984
2019-12-06,2019-12-06,2004-04-01,15567
2019-12-06,2019-12-06,2004-05-01,15736
2019-12-06,2019-12-06,2004-06-01,15555
2019-12-06,2019-12-06,2004-07-01,15645
2019-12-06,2019-12-06,2004-08-01,15660
2019-12-06,2019-12-06,2004-09-01,15764
2019-12-06,2019-12-06,2004-10-01,16055
2019-12-06,2019-12-06,2004-11-01,16044
2019-12-06,2019-12-06,2004-12-01,16183
2019-12-06,2019-12-06,2005-01-01,16125
2019-12-06,2019-12-06,2005-02-01,16674
2019-12-06,2019-12-06,2005-03-01,16293
2019-12-06,2019-12-06,2005-04-01,16636
2019-12-06,2019-12-06,2005-05-01,16514
2019-12-06,2019-12-06,2005-06-01,16824
2019-12-06,2019-12-06,2005-07-01,16450
2019-12-06,2019-12-06,2005-08-01,16759
2019-12-06,2019-12-06,2005-09-01,16450
2019-12-06,2019-12-06,2005-10-01,17120
2019-12-06,2019-12-06,2005-11-01,17142
2019-12-06,2019-12-06,2005-12-01,17207
2019-12-06,2019-12-06,2006-01-01,17331
2019-12-06,2019-12-06,2006-02-01,17384
2019-12-06,2019-12-06,2006-03-01,17385
2019-12-06,2019-12-06,2006-04-01,17542
2019-12-06,2019-12-06,2006-05-01,17492
2019-12-06,2019-12-06,2006-06-01,17701
2019-12-06,2019-12-06,2006-07-01,17691
2019-12-06,2019-12-06,2006-08-01,17635
2019-12-06,2019-12-06,2006-09-01,18256
2019-12-06,2019-12-06,2006-10-01,18126
2019-12-06,2019-12-06,2006-11-01,17910
2019-12-06,2019-12-06,2006-12-01,18497
2019-12-06,2019-12-06,2007-01-01,18493
2019-12-06,2019-12-06,2007-02-01,18144
2019-12-06,2019-12-06,2007-03-01,18643
2019-12-06,2019-12-06,2007-04-01,18189
2019-12-06,2019-12-06,2007-05-01,18545
2019-12-06,2019-12-06,2007-06-01,18388
2019-12-06,2019-12-06,2007-07-01,18522
2019-12-06,2019-12-06,2007-08-01,18491
2019-12-06,2019-12-06,2007-09-01,18412
2019-12-06,2019-12-06,2007-10-01,18431
2019-12-06,2019-12-06,2007-11-01,18759
2019-12-06,2019-12-06,2007-12-01,18570
2019-12-06,2019-12-06,2008-01-01,18542
2019-12-06,2019-12-06,2008-02-01,18280
2019-12-06,2019-12-06,2008-03-01,18338
2019-12-06,2019-12-06,2008-04-01,18384
2019-12-06,2019-12-06,2008-05-01,18642
2019-12-06,2019-12-06,2008-06-01,18708
2019-12-06,2019-12-06,2008-07-01,18635
2019-12-06,2019-12-06,2008-08-01,18524
2019-12-06,2019-12-06,2008-09-01,17560
2019-12-06,2019-12-06,2008-10-01,17317
2019-12-06,2019-12-06,2008-11-01,17173
2019-12-06,2019-12-06,2008-12-01,16868
2019-12-06,2019-12-06,2009-01-01,17159
2019-12-06,2019-12-06,2009-02-01,17401
2019-12-06,2019-12-06,2009-03-01,16510
2019-12-06,2019-12-06,2009-04-01,16900
2019-12-06,2019-12-06,2009-05-01,17038
2019-12-06,2019-12-06,2009-06-01,16817
2019-12-06,2019-12-06,2009-07-01,17015
2019-12-06,2019-12-06,2009-08-01,17233
2019-12-06,2019-12-06,2009-09-01,17172
2019-12-06,2019-12-06,2009-10-01,17296
2019-12-06,2019-12-06,2009-11-01,17105
2019-12-06,2019-12-06,2009-12-01,17127
2019-12-06,2019-12-06,2010-01-01,17346
2019-12-06,2019-12-06,2010-02-01,17362
2019-12-06,2019-12-06,2010-03-01,17880
2019-12-06,2019-12-06,2010-04-01,17728
2019-12-06,2019-12-06,2010-05-01,17612
