realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,30437
2019-12-06,2019-12-06,1992-02-01,30382
2019-12-06,2019-12-06,1992-03-01,30526
2019-12-06,2019-12-06,1992-04-01,30602
2019-12-06,2019-12-06,1992-05-01,30718
2019-12-06,2019-12-06,1992-06-01,30761
2019-12-06,2019-12-06,1992-07-01,30963
2019-12-06,2019-12-06,1992-08-01,31041
2019-12-06,2019-12-06,1992-09-01,30942
2019-12-06,2019-12-06,1992-10-01,31148
2019-12-06,2019-12-06,1992-11-01,30992
2019-12-06,2019-12-06,1992-12-01,31057
2019-12-06,2019-12-06,1993-01-01,31045
2019-12-06,2019-12-06,1993-02-01,31233
2019-12-06,2019-12-06,1993-03-01,31058
2019-12-06,2019-12-06,1993-04-01,31129
2019-12-06,2019-12-06,1993-05-01,31164
2019-12-06,2019-12-06,1993-06-01,31168
2019-12-06,2019-12-06,1993-07-01,31349
2019-12-06,2019-12-06,1993-08-01,31126
2019-12-06,2019-12-06,1993-09-01,31201
2019-12-06,2019-12-06,1993-10-01,31346
2019-12-06,2019-12-06,1993-11-01,31363
2019-12-06,2019-12-06,1993-12-01,31499
2019-12-06,2019-12-06,1994-01-01,31468
2019-12-06,2019-12-06,1994-02-01,31688
2019-12-06,2019-12-06,1994-03-01,31700
2019-12-06,2019-12-06,1994-04-01,31899
2019-12-06,2019-12-06,1994-05-01,31858
2019-12-06,2019-12-06,1994-06-01,32123
2019-12-06,2019-12-06,1994-07-01,31964
2019-12-06,2019-12-06,1994-08-01,32222
2019-12-06,2019-12-06,1994-09-01,32401
2019-12-06,2019-12-06,1994-10-01,32196
2019-12-06,2019-12-06,1994-11-01,32370
2019-12-06,2019-12-06,1994-12-01,32294
2019-12-06,2019-12-06,1995-01-01,32625
2019-12-06,2019-12-06,1995-02-01,32399
2019-12-06,2019-12-06,1995-03-01,32415
2019-12-06,2019-12-06,1995-04-01,32312
2019-12-06,2019-12-06,1995-05-01,32540
2019-12-06,2019-12-06,1995-06-01,32597
2019-12-06,2019-12-06,1995-07-01,32466
2019-12-06,2019-12-06,1995-08-01,32547
2019-12-06,2019-12-06,1995-09-01,32625
2019-12-06,2019-12-06,1995-10-01,32578
2019-12-06,2019-12-06,1995-11-01,32744
2019-12-06,2019-12-06,1995-12-01,32903
2019-12-06,2019-12-06,1996-01-01,33085
2019-12-06,2019-12-06,1996-02-01,32928
2019-12-06,2019-12-06,1996-03-01,33076
2019-12-06,2019-12-06,1996-04-01,33174
2019-12-06,2019-12-06,1996-05-01,33178
2019-12-06,2019-12-06,1996-06-01,33281
2019-12-06,2019-12-06,1996-07-01,33470
2019-12-06,2019-12-06,1996-08-01,33542
2019-12-06,2019-12-06,1996-09-01,33494
2019-12-06,2019-12-06,1996-10-01,33704
2019-12-06,2019-12-06,1996-11-01,33734
2019-12-06,2019-12-06,1996-12-01,33819
2019-12-06,2019-12-06,1997-01-01,34049
2019-12-06,2019-12-06,1997-02-01,33989
2019-12-06,2019-12-06,1997-03-01,34156
2019-12-06,2019-12-06,1997-04-01,34056
2019-12-06,2019-12-06,1997-05-01,33978
2019-12-06,2019-12-06,1997-06-01,33892
2019-12-06,2019-12-06,1997-07-01,34106
2019-12-06,2019-12-06,1997-08-01,34256
2019-12-06,2019-12-06,1997-09-01,34281
2019-12-06,2019-12-06,1997-10-01,34348
2019-12-06,2019-12-06,1997-11-01,34230
2019-12-06,2019-12-06,1997-12-01,34190
2019-12-06,2019-12-06,1998-01-01,34126
2019-12-06,2019-12-06,1998-02-01,34102
2019-12-06,2019-12-06,1998-03-01,34275
2019-12-06,2019-12-06,1998-04-01,34374
2019-12-06,2019-12-06,1998-05-01,34534
2019-12-06,2019-12-06,1998-06-01,34592
2019-12-06,2019-12-06,1998-07-01,34856
2019-12-06,2019-12-06,1998-08-01,34950
2019-12-06,2019-12-06,1998-09-01,34916
2019-12-06,2019-12-06,1998-10-01,35093
2019-12-06,2019-12-06,1998-11-01,35140
2019-12-06,2019-12-06,1998-12-01,35533
2019-12-06,2019-12-06,1999-01-01,35447
2019-12-06,2019-12-06,1999-02-01,35707
2019-12-06,2019-12-06,1999-03-01,35652
2019-12-06,2019-12-06,1999-04-01,36013
2019-12-06,2019-12-06,1999-05-01,36060
2019-12-06,2019-12-06,1999-06-01,35872
2019-12-06,2019-12-06,1999-07-01,36126
2019-12-06,2019-12-06,1999-08-01,36117
2019-12-06,2019-12-06,1999-09-01,36411
2019-12-06,2019-12-06,1999-10-01,36271
2019-12-06,2019-12-06,1999-11-01,36300
2019-12-06,2019-12-06,1999-12-01,37665
2019-12-06,2019-12-06,2000-01-01,35613
2019-12-06,2019-12-06,2000-02-01,35980
2019-12-06,2019-12-06,2000-03-01,36559
2019-12-06,2019-12-06,2000-04-01,37008
2019-12-06,2019-12-06,2000-05-01,36717
2019-12-06,2019-12-06,2000-06-01,37175
2019-12-06,2019-12-06,2000-07-01,37038
2019-12-06,2019-12-06,2000-08-01,37110
2019-12-06,2019-12-06,2000-09-01,37308
2019-12-06,2019-12-06,2000-10-01,37476
2019-12-06,2019-12-06,2000-11-01,37700
2019-12-06,2019-12-06,2000-12-01,38033
2019-12-06,2019-12-06,2001-01-01,37903
2019-12-06,2019-12-06,2001-02-01,38252
2019-12-06,2019-12-06,2001-03-01,38133
2019-12-06,2019-12-06,2001-04-01,38369
2019-12-06,2019-12-06,2001-05-01,38439
2019-12-06,2019-12-06,2001-06-01,38569
2019-12-06,2019-12-06,2001-07-01,38506
2019-12-06,2019-12-06,2001-08-01,38738
2019-12-06,2019-12-06,2001-09-01,38832
2019-12-06,2019-12-06,2001-10-01,38944
2019-12-06,2019-12-06,2001-11-01,39161
2019-12-06,2019-12-06,2001-12-01,38996
2019-12-06,2019-12-06,2002-01-01,38833
2019-12-06,2019-12-06,2002-02-01,38885
2019-12-06,2019-12-06,2002-03-01,38913
2019-12-06,2019-12-06,2002-04-01,38568
2019-12-06,2019-12-06,2002-05-01,38713
2019-12-06,2019-12-06,2002-06-01,38723
2019-12-06,2019-12-06,2002-07-01,38834
2019-12-06,2019-12-06,2002-08-01,38647
2019-12-06,2019-12-06,2002-09-01,38599
2019-12-06,2019-12-06,2002-10-01,38693
2019-12-06,2019-12-06,2002-11-01,38886
2019-12-06,2019-12-06,2002-12-01,39072
2019-12-06,2019-12-06,2003-01-01,39412
2019-12-06,2019-12-06,2003-02-01,39285
2019-12-06,2019-12-06,2003-03-01,39318
2019-12-06,2019-12-06,2003-04-01,39441
2019-12-06,2019-12-06,2003-05-01,39019
2019-12-06,2019-12-06,2003-06-01,39480
2019-12-06,2019-12-06,2003-07-01,39808
2019-12-06,2019-12-06,2003-08-01,39833
2019-12-06,2019-12-06,2003-09-01,39878
2019-12-06,2019-12-06,2003-10-01,39776
2019-12-06,2019-12-06,2003-11-01,39631
2019-12-06,2019-12-06,2003-12-01,39809
2019-12-06,2019-12-06,2004-01-01,40443
2019-12-06,2019-12-06,2004-02-01,39922
2019-12-06,2019-12-06,2004-03-01,40419
2019-12-06,2019-12-06,2004-04-01,40399
2019-12-06,2019-12-06,2004-05-01,40635
2019-12-06,2019-12-06,2004-06-01,40608
2019-12-06,2019-12-06,2004-07-01,40631
2019-12-06,2019-12-06,2004-08-01,40771
2019-12-06,2019-12-06,2004-09-01,41045
2019-12-06,2019-12-06,2004-10-01,41177
2019-12-06,2019-12-06,2004-11-01,41404
2019-12-06,2019-12-06,2004-12-01,41534
2019-12-06,2019-12-06,2005-01-01,41691
2019-12-06,2019-12-06,2005-02-01,41757
2019-12-06,2019-12-06,2005-03-01,41800
2019-12-06,2019-12-06,2005-04-01,42283
2019-12-06,2019-12-06,2005-05-01,42081
2019-12-06,2019-12-06,2005-06-01,42363
2019-12-06,2019-12-06,2005-07-01,42184
2019-12-06,2019-12-06,2005-08-01,42542
2019-12-06,2019-12-06,2005-09-01,42845
2019-12-06,2019-12-06,2005-10-01,42842
2019-12-06,2019-12-06,2005-11-01,42823
2019-12-06,2019-12-06,2005-12-01,43191
2019-12-06,2019-12-06,2006-01-01,42681
2019-12-06,2019-12-06,2006-02-01,43379
2019-12-06,2019-12-06,2006-03-01,43233
2019-12-06,2019-12-06,2006-04-01,43269
2019-12-06,2019-12-06,2006-05-01,43654
2019-12-06,2019-12-06,2006-06-01,43782
2019-12-06,2019-12-06,2006-07-01,43827
2019-12-06,2019-12-06,2006-08-01,44160
2019-12-06,2019-12-06,2006-09-01,43846
2019-12-06,2019-12-06,2006-10-01,44542
2019-12-06,2019-12-06,2006-11-01,44572
2019-12-06,2019-12-06,2006-12-01,44730
2019-12-06,2019-12-06,2007-01-01,44856
2019-12-06,2019-12-06,2007-02-01,45274
2019-12-06,2019-12-06,2007-03-01,45271
2019-12-06,2019-12-06,2007-04-01,44988
2019-12-06,2019-12-06,2007-05-01,45454
2019-12-06,2019-12-06,2007-06-01,45627
2019-12-06,2019-12-06,2007-07-01,45754
2019-12-06,2019-12-06,2007-08-01,45643
2019-12-06,2019-12-06,2007-09-01,45853
2019-12-06,2019-12-06,2007-10-01,46113
2019-12-06,2019-12-06,2007-11-01,46624
2019-12-06,2019-12-06,2007-12-01,46831
2019-12-06,2019-12-06,2008-01-01,46862
2019-12-06,2019-12-06,2008-02-01,46707
2019-12-06,2019-12-06,2008-03-01,46883
2019-12-06,2019-12-06,2008-04-01,47356
2019-12-06,2019-12-06,2008-05-01,47355
2019-12-06,2019-12-06,2008-06-01,47568
2019-12-06,2019-12-06,2008-07-01,47845
2019-12-06,2019-12-06,2008-08-01,47988
2019-12-06,2019-12-06,2008-09-01,47740
2019-12-06,2019-12-06,2008-10-01,47703
2019-12-06,2019-12-06,2008-11-01,47363
2019-12-06,2019-12-06,2008-12-01,46942
2019-12-06,2019-12-06,2009-01-01,47639
2019-12-06,2019-12-06,2009-02-01,46928
2019-12-06,2019-12-06,2009-03-01,46912
2019-12-06,2019-12-06,2009-04-01,47133
2019-12-06,2019-12-06,2009-05-01,47219
2019-12-06,2019-12-06,2009-06-01,47350
2019-12-06,2019-12-06,2009-07-01,47330
2019-12-06,2019-12-06,2009-08-01,47309
2019-12-06,2019-12-06,2009-09-01,47559
2019-12-06,2019-12-06,2009-10-01,47603
2019-12-06,2019-12-06,2009-11-01,47689
2019-12-06,2019-12-06,2009-12-01,48134
2019-12-06,2019-12-06,2010-01-01,47877
2019-12-06,2019-12-06,2010-02-01,48705
2019-12-06,2019-12-06,2010-03-01,48274
2019-12-06,2019-12-06,2010-04-01,48205
2019-12-06,2019-12-06,2010-05-01,48202
2019-12-06,2019-12-06,2010-06-01,47914
2019-12-06,2019-12-06,2010-07-01,47919
2019-12-06,2019-12-06,2010-08-01,48258
2019-12-06,2019-12-06,2010-09-01,48631
2019-12-06,2019-12-06,2010-10-01,48575
2019-12-06,2019-12-06,2010-11-01,49136
2019-12-06,2019-12-06,2010-12-01,49157
2019-12-06,2019-12-06,2011-01-01,49682
2019-12-06,2019-12-06,2011-02-01,50070
2019-12-06,2019-12-06,2011-03-01,50075
2019-12-06,2019-12-06,2011-04-01,50805
2019-12-06,2019-12-06,2011-05-01,50427
2019-12-06,2019-12-06,2011-06-01,50940
2019-12-06,2019-12-06,2011-07-01,50948
2019-12-06,2019-12-06,2011-08-01,51177
2019-12-06,2019-12-06,2011-09-01,51047
2019-12-06,2019-12-06,2011-10-01,51334
2019-12-06,2019-12-06,2011-11-01,51435
2019-12-06,2019-12-06,2011-12-01,51185
2019-12-06,2019-12-06,2012-01-01,51540
2019-12-06,2019-12-06,2012-02-01,51662
2019-12-06,2019-12-06,2012-03-01,52112
2019-12-06,2019-12-06,2012-04-01,52299
2019-12-06,2019-12-06,2012-05-01,52284
2019-12-06,2019-12-06,2012-06-01,52212
2019-12-06,2019-12-06,2012-07-01,52276
2019-12-06,2019-12-06,2012-08-01,52295
2019-12-06,2019-12-06,2012-09-01,52506
2019-12-06,2019-12-06,2012-10-01,52860
2019-12-06,2019-12-06,2012-11-01,52750
2019-12-06,2019-12-06,2012-12-01,52593
2019-12-06,2019-12-06,2013-01-01,52646
2019-12-06,2019-12-06,2013-02-01,53203
2019-12-06,2019-12-06,2013-03-01,53071
2019-12-06,2019-12-06,2013-04-01,52682
2019-12-06,2019-12-06,2013-05-01,53195
2019-12-06,2019-12-06,2013-06-01,53155
2019-12-06,2019-12-06,2013-07-01,53553
2019-12-06,2019-12-06,2013-08-01,53665
2019-12-06,2019-12-06,2013-09-01,53741
2019-12-06,2019-12-06,2013-10-01,53867
2019-12-06,2019-12-06,2013-11-01,53945
2019-12-06,2019-12-06,2013-12-01,54524
2019-12-06,2019-12-06,2014-01-01,54708
2019-12-06,2019-12-06,2014-02-01,54681
2019-12-06,2019-12-06,2014-03-01,54803
2019-12-06,2019-12-06,2014-04-01,55143
2019-12-06,2019-12-06,2014-05-01,55366
2019-12-06,2019-12-06,2014-06-01,55863
2019-12-06,2019-12-06,2014-07-01,56036
2019-12-06,2019-12-06,2014-08-01,56183
2019-12-06,2019-12-06,2014-09-01,56349
2019-12-06,2019-12-06,2014-10-01,56620
2019-12-06,2019-12-06,2014-11-01,56599
2019-12-06,2019-12-06,2014-12-01,56932
2019-12-06,2019-12-06,2015-01-01,56911
2019-12-06,2019-12-06,2015-02-01,56975
2019-12-06,2019-12-06,2015-03-01,56967
2019-12-06,2019-12-06,2015-04-01,56862
2019-12-06,2019-12-06,2015-05-01,56943
2019-12-06,2019-12-06,2015-06-01,57209
2019-12-06,2019-12-06,2015-07-01,57369
2019-12-06,2019-12-06,2015-08-01,57410
2019-12-06,2019-12-06,2015-09-01,57254
2019-12-06,2019-12-06,2015-10-01,57018
2019-12-06,2019-12-06,2015-11-01,57450
2019-12-06,2019-12-06,2015-12-01,57311
2019-12-06,2019-12-06,2016-01-01,57530
2019-12-06,2019-12-06,2016-02-01,57559
