realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,14134
2019-12-06,2019-12-06,1992-02-01,14472
2019-12-06,2019-12-06,1992-03-01,14543
2019-12-06,2019-12-06,1992-04-01,14529
2019-12-06,2019-12-06,1992-05-01,14634
2019-12-06,2019-12-06,1992-06-01,14597
2019-12-06,2019-12-06,1992-07-01,14469
2019-12-06,2019-12-06,1992-08-01,14729
2019-12-06,2019-12-06,1992-09-01,14816
2019-12-06,2019-12-06,1992-10-01,14870
2019-12-06,2019-12-06,1992-11-01,14994
2019-12-06,2019-12-06,1992-12-01,15310
2019-12-06,2019-12-06,1993-01-01,15334
2019-12-06,2019-12-06,1993-02-01,15119
2019-12-06,2019-12-06,1993-03-01,14985
2019-12-06,2019-12-06,1993-04-01,15406
2019-12-06,2019-12-06,1993-05-01,15523
2019-12-06,2019-12-06,1993-06-01,15517
2019-12-06,2019-12-06,1993-07-01,15757
2019-12-06,2019-12-06,1993-08-01,15775
2019-12-06,2019-12-06,1993-09-01,15785
2019-12-06,2019-12-06,1993-10-01,15985
2019-12-06,2019-12-06,1993-11-01,15987
2019-12-06,2019-12-06,1993-12-01,15988
2019-12-06,2019-12-06,1994-01-01,16036
2019-12-06,2019-12-06,1994-02-01,16203
2019-12-06,2019-12-06,1994-03-01,16663
2019-12-06,2019-12-06,1994-04-01,16337
2019-12-06,2019-12-06,1994-05-01,16301
2019-12-06,2019-12-06,1994-06-01,16478
2019-12-06,2019-12-06,1994-07-01,16543
2019-12-06,2019-12-06,1994-08-01,16635
2019-12-06,2019-12-06,1994-09-01,16676
2019-12-06,2019-12-06,1994-10-01,16796
2019-12-06,2019-12-06,1994-11-01,16866
2019-12-06,2019-12-06,1994-12-01,16949
2019-12-06,2019-12-06,1995-01-01,17205
2019-12-06,2019-12-06,1995-02-01,16680
2019-12-06,2019-12-06,1995-03-01,16904
2019-12-06,2019-12-06,1995-04-01,16985
2019-12-06,2019-12-06,1995-05-01,16997
2019-12-06,2019-12-06,1995-06-01,17269
2019-12-06,2019-12-06,1995-07-01,17487
2019-12-06,2019-12-06,1995-08-01,17231
2019-12-06,2019-12-06,1995-09-01,17440
2019-12-06,2019-12-06,1995-10-01,17188
2019-12-06,2019-12-06,1995-11-01,17283
2019-12-06,2019-12-06,1995-12-01,17332
2019-12-06,2019-12-06,1996-01-01,17082
2019-12-06,2019-12-06,1996-02-01,17336
2019-12-06,2019-12-06,1996-03-01,17248
2019-12-06,2019-12-06,1996-04-01,17675
2019-12-06,2019-12-06,1996-05-01,17624
