realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,4254
2019-12-06,2019-12-06,1992-02-01,4342
2019-12-06,2019-12-06,1992-03-01,4330
2019-12-06,2019-12-06,1992-04-01,4359
2019-12-06,2019-12-06,1992-05-01,4331
2019-12-06,2019-12-06,1992-06-01,4401
2019-12-06,2019-12-06,1992-07-01,4368
2019-12-06,2019-12-06,1992-08-01,4372
2019-12-06,2019-12-06,1992-09-01,4345
2019-12-06,2019-12-06,1992-10-01,4299
2019-12-06,2019-12-06,1992-11-01,4368
2019-12-06,2019-12-06,1992-12-01,4428
2019-12-06,2019-12-06,1993-01-01,4637
2019-12-06,2019-12-06,1993-02-01,4507
2019-12-06,2019-12-06,1993-03-01,4463
2019-12-06,2019-12-06,1993-04-01,4564
2019-12-06,2019-12-06,1993-05-01,4642
2019-12-06,2019-12-06,1993-06-01,4609
2019-12-06,2019-12-06,1993-07-01,4640
2019-12-06,2019-12-06,1993-08-01,4645
2019-12-06,2019-12-06,1993-09-01,4640
2019-12-06,2019-12-06,1993-10-01,4663
2019-12-06,2019-12-06,1993-11-01,4693
2019-12-06,2019-12-06,1993-12-01,4693
2019-12-06,2019-12-06,1994-01-01,4571
2019-12-06,2019-12-06,1994-02-01,4775
2019-12-06,2019-12-06,1994-03-01,4910
2019-12-06,2019-12-06,1994-04-01,4916
2019-12-06,2019-12-06,1994-05-01,4971
2019-12-06,2019-12-06,1994-06-01,5018
2019-12-06,2019-12-06,1994-07-01,5046
2019-12-06,2019-12-06,1994-08-01,5165
2019-12-06,2019-12-06,1994-09-01,5177
2019-12-06,2019-12-06,1994-10-01,5260
2019-12-06,2019-12-06,1994-11-01,5199
2019-12-06,2019-12-06,1994-12-01,5254
2019-12-06,2019-12-06,1995-01-01,5265
2019-12-06,2019-12-06,1995-02-01,5081
2019-12-06,2019-12-06,1995-03-01,5130
2019-12-06,2019-12-06,1995-04-01,5181
2019-12-06,2019-12-06,1995-05-01,5216
2019-12-06,2019-12-06,1995-06-01,5217
2019-12-06,2019-12-06,1995-07-01,5318
2019-12-06,2019-12-06,1995-08-01,5304
2019-12-06,2019-12-06,1995-09-01,5407
2019-12-06,2019-12-06,1995-10-01,5429
2019-12-06,2019-12-06,1995-11-01,5516
2019-12-06,2019-12-06,1995-12-01,5445
2019-12-06,2019-12-06,1996-01-01,5302
2019-12-06,2019-12-06,1996-02-01,5346
2019-12-06,2019-12-06,1996-03-01,5566
2019-12-06,2019-12-06,1996-04-01,5595
