realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,3846
2019-12-06,2019-12-06,1992-02-01,3908
2019-12-06,2019-12-06,1992-03-01,4157
2019-12-06,2019-12-06,1992-04-01,4141
2019-12-06,2019-12-06,1992-05-01,4275
2019-12-06,2019-12-06,1992-06-01,4357
2019-12-06,2019-12-06,1992-07-01,4407
2019-12-06,2019-12-06,1992-08-01,4446
2019-12-06,2019-12-06,1992-09-01,4328
2019-12-06,2019-12-06,1992-10-01,4497
2019-12-06,2019-12-06,1992-11-01,4687
2019-12-06,2019-12-06,1992-12-01,5287
2019-12-06,2019-12-06,1993-01-01,4104
2019-12-06,2019-12-06,1993-02-01,3908
2019-12-06,2019-12-06,1993-03-01,4369
2019-12-06,2019-12-06,1993-04-01,4372
2019-12-06,2019-12-06,1993-05-01,4535
2019-12-06,2019-12-06,1993-06-01,4568
2019-12-06,2019-12-06,1993-07-01,4682
2019-12-06,2019-12-06,1993-08-01,4733
2019-12-06,2019-12-06,1993-09-01,4621
2019-12-06,2019-12-06,1993-10-01,4775
2019-12-06,2019-12-06,1993-11-01,5158
2019-12-06,2019-12-06,1993-12-01,5631
2019-12-06,2019-12-06,1994-01-01,4018
2019-12-06,2019-12-06,1994-02-01,4140
2019-12-06,2019-12-06,1994-03-01,4827
2019-12-06,2019-12-06,1994-04-01,4700
2019-12-06,2019-12-06,1994-05-01,4867
2019-12-06,2019-12-06,1994-06-01,4958
2019-12-06,2019-12-06,1994-07-01,4980
2019-12-06,2019-12-06,1994-08-01,5356
2019-12-06,2019-12-06,1994-09-01,5203
2019-12-06,2019-12-06,1994-10-01,5328
2019-12-06,2019-12-06,1994-11-01,5734
2019-12-06,2019-12-06,1994-12-01,6305
2019-12-06,2019-12-06,1995-01-01,4649
2019-12-06,2019-12-06,1995-02-01,4410
2019-12-06,2019-12-06,1995-03-01,5084
2019-12-06,2019-12-06,1995-04-01,4818
2019-12-06,2019-12-06,1995-05-01,5195
2019-12-06,2019-12-06,1995-06-01,5196
2019-12-06,2019-12-06,1995-07-01,5190
2019-12-06,2019-12-06,1995-08-01,5506
2019-12-06,2019-12-06,1995-09-01,5418
2019-12-06,2019-12-06,1995-10-01,5505
2019-12-06,2019-12-06,1995-11-01,6090
2019-12-06,2019-12-06,1995-12-01,6409
