realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,17170
2019-12-06,2019-12-06,1992-02-01,16990
2019-12-06,2019-12-06,1992-03-01,16916
2019-12-06,2019-12-06,1992-04-01,16677
2019-12-06,2019-12-06,1992-05-01,16602
2019-12-06,2019-12-06,1992-06-01,16277
2019-12-06,2019-12-06,1992-07-01,16496
2019-12-06,2019-12-06,1992-08-01,16733
2019-12-06,2019-12-06,1992-09-01,16812
2019-12-06,2019-12-06,1992-10-01,17104
2019-12-06,2019-12-06,1992-11-01,17420
2019-12-06,2019-12-06,1992-12-01,17491
2019-12-06,2019-12-06,1993-01-01,17553
2019-12-06,2019-12-06,1993-02-01,17478
2019-12-06,2019-12-06,1993-03-01,17554
2019-12-06,2019-12-06,1993-04-01,17770
2019-12-06,2019-12-06,1993-05-01,17821
2019-12-06,2019-12-06,1993-06-01,18030
2019-12-06,2019-12-06,1993-07-01,17927
2019-12-06,2019-12-06,1993-08-01,18201
2019-12-06,2019-12-06,1993-09-01,18515
2019-12-06,2019-12-06,1993-10-01,18199
2019-12-06,2019-12-06,1993-11-01,18153
2019-12-06,2019-12-06,1993-12-01,18238
2019-12-06,2019-12-06,1994-01-01,17624
2019-12-06,2019-12-06,1994-02-01,18425
2019-12-06,2019-12-06,1994-03-01,18813
2019-12-06,2019-12-06,1994-04-01,18533
2019-12-06,2019-12-06,1994-05-01,18600
2019-12-06,2019-12-06,1994-06-01,18889
2019-12-06,2019-12-06,1994-07-01,18962
2019-12-06,2019-12-06,1994-08-01,18868
2019-12-06,2019-12-06,1994-09-01,18978
2019-12-06,2019-12-06,1994-10-01,19010
2019-12-06,2019-12-06,1994-11-01,19028
2019-12-06,2019-12-06,1994-12-01,19178
2019-12-06,2019-12-06,1995-01-01,19160
2019-12-06,2019-12-06,1995-02-01,18911
2019-12-06,2019-12-06,1995-03-01,19234
2019-12-06,2019-12-06,1995-04-01,19346
2019-12-06,2019-12-06,1995-05-01,19450
2019-12-06,2019-12-06,1995-06-01,19419
2019-12-06,2019-12-06,1995-07-01,19489
2019-12-06,2019-12-06,1995-08-01,19715
2019-12-06,2019-12-06,1995-09-01,19640
2019-12-06,2019-12-06,1995-10-01,19611
2019-12-06,2019-12-06,1995-11-01,19609
2019-12-06,2019-12-06,1995-12-01,19625
2019-12-06,2019-12-06,1996-01-01,19564
2019-12-06,2019-12-06,1996-02-01,19742
2019-12-06,2019-12-06,1996-03-01,19862
2019-12-06,2019-12-06,1996-04-01,19932
2019-12-06,2019-12-06,1996-05-01,20094
2019-12-06,2019-12-06,1996-06-01,19932
2019-12-06,2019-12-06,1996-07-01,20145
2019-12-06,2019-12-06,1996-08-01,20140
2019-12-06,2019-12-06,1996-09-01,20397
2019-12-06,2019-12-06,1996-10-01,20551
2019-12-06,2019-12-06,1996-11-01,20789
2019-12-06,2019-12-06,1996-12-01,20707
2019-12-06,2019-12-06,1997-01-01,21110
2019-12-06,2019-12-06,1997-02-01,21136
2019-12-06,2019-12-06,1997-03-01,21171
2019-12-06,2019-12-06,1997-04-01,21216
2019-12-06,2019-12-06,1997-05-01,21230
2019-12-06,2019-12-06,1997-06-01,21382
2019-12-06,2019-12-06,1997-07-01,21689
2019-12-06,2019-12-06,1997-08-01,21674
2019-12-06,2019-12-06,1997-09-01,21986
2019-12-06,2019-12-06,1997-10-01,21758
2019-12-06,2019-12-06,1997-11-01,21504
2019-12-06,2019-12-06,1997-12-01,21818
2019-12-06,2019-12-06,1998-01-01,21921
2019-12-06,2019-12-06,1998-02-01,22132
2019-12-06,2019-12-06,1998-03-01,22251
2019-12-06,2019-12-06,1998-04-01,22353
2019-12-06,2019-12-06,1998-05-01,22436
2019-12-06,2019-12-06,1998-06-01,22634
2019-12-06,2019-12-06,1998-07-01,22570
2019-12-06,2019-12-06,1998-08-01,22743
2019-12-06,2019-12-06,1998-09-01,22830
2019-12-06,2019-12-06,1998-10-01,23066
2019-12-06,2019-12-06,1998-11-01,23157
2019-12-06,2019-12-06,1998-12-01,23351
2019-12-06,2019-12-06,1999-01-01,22871
2019-12-06,2019-12-06,1999-02-01,23270
2019-12-06,2019-12-06,1999-03-01,23250
2019-12-06,2019-12-06,1999-04-01,23440
2019-12-06,2019-12-06,1999-05-01,23500
2019-12-06,2019-12-06,1999-06-01,23546
2019-12-06,2019-12-06,1999-07-01,23508
2019-12-06,2019-12-06,1999-08-01,23664
2019-12-06,2019-12-06,1999-09-01,23836
2019-12-06,2019-12-06,1999-10-01,24265
2019-12-06,2019-12-06,1999-11-01,24421
2019-12-06,2019-12-06,1999-12-01,24378
2019-12-06,2019-12-06,2000-01-01,24608
2019-12-06,2019-12-06,2000-02-01,24887
2019-12-06,2019-12-06,2000-03-01,25367
2019-12-06,2019-12-06,2000-04-01,25215
2019-12-06,2019-12-06,2000-05-01,25193
2019-12-06,2019-12-06,2000-06-01,25262
2019-12-06,2019-12-06,2000-07-01,25454
2019-12-06,2019-12-06,2000-08-01,25342
2019-12-06,2019-12-06,2000-09-01,25711
2019-12-06,2019-12-06,2000-10-01,25706
2019-12-06,2019-12-06,2000-11-01,25698
2019-12-06,2019-12-06,2000-12-01,25133
2019-12-06,2019-12-06,2001-01-01,26180
2019-12-06,2019-12-06,2001-02-01,26069
2019-12-06,2019-12-06,2001-03-01,26122
2019-12-06,2019-12-06,2001-04-01,26045
2019-12-06,2019-12-06,2001-05-01,26278
2019-12-06,2019-12-06,2001-06-01,26379
2019-12-06,2019-12-06,2001-07-01,26507
2019-12-06,2019-12-06,2001-08-01,26853
2019-12-06,2019-12-06,2001-09-01,26239
2019-12-06,2019-12-06,2001-10-01,26541
2019-12-06,2019-12-06,2001-11-01,26597
2019-12-06,2019-12-06,2001-12-01,27156
2019-12-06,2019-12-06,2002-01-01,27201
2019-12-06,2019-12-06,2002-02-01,27384
2019-12-06,2019-12-06,2002-03-01,27203
2019-12-06,2019-12-06,2002-04-01,27500
2019-12-06,2019-12-06,2002-05-01,27378
2019-12-06,2019-12-06,2002-06-01,27586
2019-12-06,2019-12-06,2002-07-01,27616
2019-12-06,2019-12-06,2002-08-01,27607
2019-12-06,2019-12-06,2002-09-01,27784
2019-12-06,2019-12-06,2002-10-01,27623
2019-12-06,2019-12-06,2002-11-01,27916
2019-12-06,2019-12-06,2002-12-01,28017
2019-12-06,2019-12-06,2003-01-01,28018
2019-12-06,2019-12-06,2003-02-01,27979
2019-12-06,2019-12-06,2003-03-01,28505
2019-12-06,2019-12-06,2003-04-01,28403
2019-12-06,2019-12-06,2003-05-01,29048
2019-12-06,2019-12-06,2003-06-01,29230
2019-12-06,2019-12-06,2003-07-01,29395
2019-12-06,2019-12-06,2003-08-01,29844
2019-12-06,2019-12-06,2003-09-01,29503
2019-12-06,2019-12-06,2003-10-01,30045
2019-12-06,2019-12-06,2003-11-01,30229
2019-12-06,2019-12-06,2003-12-01,29795
2019-12-06,2019-12-06,2004-01-01,30341
2019-12-06,2019-12-06,2004-02-01,30461
2019-12-06,2019-12-06,2004-03-01,30703
2019-12-06,2019-12-06,2004-04-01,30560
2019-12-06,2019-12-06,2004-05-01,30712
2019-12-06,2019-12-06,2004-06-01,30825
2019-12-06,2019-12-06,2004-07-01,31191
2019-12-06,2019-12-06,2004-08-01,31036
2019-12-06,2019-12-06,2004-09-01,31430
2019-12-06,2019-12-06,2004-10-01,31625
2019-12-06,2019-12-06,2004-11-01,31659
2019-12-06,2019-12-06,2004-12-01,32111
2019-12-06,2019-12-06,2005-01-01,32000
2019-12-06,2019-12-06,2005-02-01,32469
2019-12-06,2019-12-06,2005-03-01,32273
2019-12-06,2019-12-06,2005-04-01,32823
2019-12-06,2019-12-06,2005-05-01,32746
2019-12-06,2019-12-06,2005-06-01,33009
2019-12-06,2019-12-06,2005-07-01,33056
2019-12-06,2019-12-06,2005-08-01,33261
2019-12-06,2019-12-06,2005-09-01,33283
2019-12-06,2019-12-06,2005-10-01,33618
2019-12-06,2019-12-06,2005-11-01,34022
2019-12-06,2019-12-06,2005-12-01,33932
2019-12-06,2019-12-06,2006-01-01,34983
2019-12-06,2019-12-06,2006-02-01,34535
2019-12-06,2019-12-06,2006-03-01,34796
2019-12-06,2019-12-06,2006-04-01,34862
2019-12-06,2019-12-06,2006-05-01,34910
2019-12-06,2019-12-06,2006-06-01,34695
2019-12-06,2019-12-06,2006-07-01,34802
2019-12-06,2019-12-06,2006-08-01,35367
2019-12-06,2019-12-06,2006-09-01,35725
2019-12-06,2019-12-06,2006-10-01,35784
2019-12-06,2019-12-06,2006-11-01,35923
2019-12-06,2019-12-06,2006-12-01,36881
2019-12-06,2019-12-06,2007-01-01,36435
2019-12-06,2019-12-06,2007-02-01,36053
2019-12-06,2019-12-06,2007-03-01,36579
2019-12-06,2019-12-06,2007-04-01,36627
2019-12-06,2019-12-06,2007-05-01,36732
2019-12-06,2019-12-06,2007-06-01,37078
2019-12-06,2019-12-06,2007-07-01,37272
2019-12-06,2019-12-06,2007-08-01,37189
2019-12-06,2019-12-06,2007-09-01,37427
2019-12-06,2019-12-06,2007-10-01,37759
2019-12-06,2019-12-06,2007-11-01,37727
2019-12-06,2019-12-06,2007-12-01,38109
