realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,130617
2019-12-06,2019-12-06,1992-02-01,130396
2019-12-06,2019-12-06,1992-03-01,130385
2019-12-06,2019-12-06,1992-04-01,130933
2019-12-06,2019-12-06,1992-05-01,131255
2019-12-06,2019-12-06,1992-06-01,131296
2019-12-06,2019-12-06,1992-07-01,132058
2019-12-06,2019-12-06,1992-08-01,133215
2019-12-06,2019-12-06,1992-09-01,133510
2019-12-06,2019-12-06,1992-10-01,134653
2019-12-06,2019-12-06,1992-11-01,135075
2019-12-06,2019-12-06,1992-12-01,136833
2019-12-06,2019-12-06,1993-01-01,137487
2019-12-06,2019-12-06,1993-02-01,137021
2019-12-06,2019-12-06,1993-03-01,136351
2019-12-06,2019-12-06,1993-04-01,138228
2019-12-06,2019-12-06,1993-05-01,139420
2019-12-06,2019-12-06,1993-06-01,139265
2019-12-06,2019-12-06,1993-07-01,140453
2019-12-06,2019-12-06,1993-08-01,140203
2019-12-06,2019-12-06,1993-09-01,141570
2019-12-06,2019-12-06,1993-10-01,142027
2019-12-06,2019-12-06,1993-11-01,142670
2019-12-06,2019-12-06,1993-12-01,143603
2019-12-06,2019-12-06,1994-01-01,142482
2019-12-06,2019-12-06,1994-02-01,144389
2019-12-06,2019-12-06,1994-03-01,147104
2019-12-06,2019-12-06,1994-04-01,146567
2019-12-06,2019-12-06,1994-05-01,146831
2019-12-06,2019-12-06,1994-06-01,148589
2019-12-06,2019-12-06,1994-07-01,149266
2019-12-06,2019-12-06,1994-08-01,150931
2019-12-06,2019-12-06,1994-09-01,151451
2019-12-06,2019-12-06,1994-10-01,152530
2019-12-06,2019-12-06,1994-11-01,152528
2019-12-06,2019-12-06,1994-12-01,153761
2019-12-06,2019-12-06,1995-01-01,154349
2019-12-06,2019-12-06,1995-02-01,152497
2019-12-06,2019-12-06,1995-03-01,153566
2019-12-06,2019-12-06,1995-04-01,153976
2019-12-06,2019-12-06,1995-05-01,155268
2019-12-06,2019-12-06,1995-06-01,155848
2019-12-06,2019-12-06,1995-07-01,156088
2019-12-06,2019-12-06,1995-08-01,156773
2019-12-06,2019-12-06,1995-09-01,157818
2019-12-06,2019-12-06,1995-10-01,156905
