realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,116565
2019-12-06,2019-12-06,1992-02-01,115862
2019-12-06,2019-12-06,1992-03-01,124200
2019-12-06,2019-12-06,1992-04-01,127587
2019-12-06,2019-12-06,1992-05-01,133608
2019-12-06,2019-12-06,1992-06-01,130274
2019-12-06,2019-12-06,1992-07-01,132076
2019-12-06,2019-12-06,1992-08-01,134928
2019-12-06,2019-12-06,1992-09-01,128734
2019-12-06,2019-12-06,1992-10-01,136917
2019-12-06,2019-12-06,1992-11-01,139187
2019-12-06,2019-12-06,1992-12-01,175771
2019-12-06,2019-12-06,1993-01-01,121021
2019-12-06,2019-12-06,1993-02-01,117300
2019-12-06,2019-12-06,1993-03-01,131181
2019-12-06,2019-12-06,1993-04-01,135401
2019-12-06,2019-12-06,1993-05-01,140841
2019-12-06,2019-12-06,1993-06-01,138540
2019-12-06,2019-12-06,1993-07-01,140704
2019-12-06,2019-12-06,1993-08-01,141612
2019-12-06,2019-12-06,1993-09-01,137132
2019-12-06,2019-12-06,1993-10-01,142450
2019-12-06,2019-12-06,1993-11-01,148461
2019-12-06,2019-12-06,1993-12-01,185536
2019-12-06,2019-12-06,1994-01-01,124850
2019-12-06,2019-12-06,1994-02-01,123634
2019-12-06,2019-12-06,1994-03-01,143525
2019-12-06,2019-12-06,1994-04-01,141977
2019-12-06,2019-12-06,1994-05-01,147862
2019-12-06,2019-12-06,1994-06-01,148644
2019-12-06,2019-12-06,1994-07-01,147625
2019-12-06,2019-12-06,1994-08-01,154061
2019-12-06,2019-12-06,1994-09-01,147603
2019-12-06,2019-12-06,1994-10-01,151778
2019-12-06,2019-12-06,1994-11-01,158908
2019-12-06,2019-12-06,1994-12-01,198627
2019-12-06,2019-12-06,1995-01-01,134789
2019-12-06,2019-12-06,1995-02-01,130679
2019-12-06,2019-12-06,1995-03-01,149748
2019-12-06,2019-12-06,1995-04-01,148170
2019-12-06,2019-12-06,1995-05-01,157703
2019-12-06,2019-12-06,1995-06-01,156922
2019-12-06,2019-12-06,1995-07-01,153443
2019-12-06,2019-12-06,1995-08-01,160769
2019-12-06,2019-12-06,1995-09-01,153295
2019-12-06,2019-12-06,1995-10-01,155556
2019-12-06,2019-12-06,1995-11-01,166150
2019-12-06,2019-12-06,1995-12-01,203689
2019-12-06,2019-12-06,1996-01-01,140160
2019-12-06,2019-12-06,1996-02-01,142805
2019-12-06,2019-12-06,1996-03-01,156474
2019-12-06,2019-12-06,1996-04-01,157622
2019-12-06,2019-12-06,1996-05-01,168786
2019-12-06,2019-12-06,1996-06-01,162597
2019-12-06,2019-12-06,1996-07-01,163040
2019-12-06,2019-12-06,1996-08-01,170581
2019-12-06,2019-12-06,1996-09-01,158129
2019-12-06,2019-12-06,1996-10-01,168434
2019-12-06,2019-12-06,1996-11-01,175816
2019-12-06,2019-12-06,1996-12-01,211843
2019-12-06,2019-12-06,1997-01-01,151994
2019-12-06,2019-12-06,1997-02-01,147430
2019-12-06,2019-12-06,1997-03-01,167468
2019-12-06,2019-12-06,1997-04-01,164024
2019-12-06,2019-12-06,1997-05-01,176251
2019-12-06,2019-12-06,1997-06-01,169901
2019-12-06,2019-12-06,1997-07-01,173049
2019-12-06,2019-12-06,1997-08-01,177182
2019-12-06,2019-12-06,1997-09-01,167947
2019-12-06,2019-12-06,1997-10-01,176680
