realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,12803
2019-12-06,2019-12-06,1992-02-01,12601
2019-12-06,2019-12-06,1992-03-01,12639
2019-12-06,2019-12-06,1992-04-01,12710
2019-12-06,2019-12-06,1992-05-01,12870
2019-12-06,2019-12-06,1992-06-01,12886
2019-12-06,2019-12-06,1992-07-01,12966
2019-12-06,2019-12-06,1992-08-01,13092
2019-12-06,2019-12-06,1992-09-01,13246
2019-12-06,2019-12-06,1992-10-01,13304
2019-12-06,2019-12-06,1992-11-01,13358
2019-12-06,2019-12-06,1992-12-01,13475
2019-12-06,2019-12-06,1993-01-01,13398
2019-12-06,2019-12-06,1993-02-01,13596
2019-12-06,2019-12-06,1993-03-01,13487
2019-12-06,2019-12-06,1993-04-01,13539
2019-12-06,2019-12-06,1993-05-01,13521
2019-12-06,2019-12-06,1993-06-01,13461
2019-12-06,2019-12-06,1993-07-01,13502
2019-12-06,2019-12-06,1993-08-01,13372
2019-12-06,2019-12-06,1993-09-01,13416
2019-12-06,2019-12-06,1993-10-01,13755
2019-12-06,2019-12-06,1993-11-01,13754
2019-12-06,2019-12-06,1993-12-01,13627
2019-12-06,2019-12-06,1994-01-01,13656
2019-12-06,2019-12-06,1994-02-01,13875
2019-12-06,2019-12-06,1994-03-01,13911
2019-12-06,2019-12-06,1994-04-01,13867
2019-12-06,2019-12-06,1994-05-01,13773
2019-12-06,2019-12-06,1994-06-01,14059
2019-12-06,2019-12-06,1994-07-01,14322
2019-12-06,2019-12-06,1994-08-01,14685
2019-12-06,2019-12-06,1994-09-01,14649
2019-12-06,2019-12-06,1994-10-01,14709
2019-12-06,2019-12-06,1994-11-01,14878
2019-12-06,2019-12-06,1994-12-01,14885
2019-12-06,2019-12-06,1995-01-01,14915
2019-12-06,2019-12-06,1995-02-01,14963
2019-12-06,2019-12-06,1995-03-01,14921
2019-12-06,2019-12-06,1995-04-01,15021
2019-12-06,2019-12-06,1995-05-01,15215
2019-12-06,2019-12-06,1995-06-01,15333
2019-12-06,2019-12-06,1995-07-01,15249
2019-12-06,2019-12-06,1995-08-01,15227
2019-12-06,2019-12-06,1995-09-01,15194
2019-12-06,2019-12-06,1995-10-01,15007
2019-12-06,2019-12-06,1995-11-01,14981
2019-12-06,2019-12-06,1995-12-01,15246
2019-12-06,2019-12-06,1996-01-01,15479
2019-12-06,2019-12-06,1996-02-01,15457
2019-12-06,2019-12-06,1996-03-01,15951
2019-12-06,2019-12-06,1996-04-01,16252
2019-12-06,2019-12-06,1996-05-01,16488
2019-12-06,2019-12-06,1996-06-01,16352
2019-12-06,2019-12-06,1996-07-01,16075
2019-12-06,2019-12-06,1996-08-01,16066
2019-12-06,2019-12-06,1996-09-01,16088
2019-12-06,2019-12-06,1996-10-01,16360
2019-12-06,2019-12-06,1996-11-01,16602
2019-12-06,2019-12-06,1996-12-01,16759
2019-12-06,2019-12-06,1997-01-01,16938
2019-12-06,2019-12-06,1997-02-01,16984
2019-12-06,2019-12-06,1997-03-01,16969
2019-12-06,2019-12-06,1997-04-01,16613
2019-12-06,2019-12-06,1997-05-01,16367
2019-12-06,2019-12-06,1997-06-01,16378
2019-12-06,2019-12-06,1997-07-01,16396
2019-12-06,2019-12-06,1997-08-01,16682
2019-12-06,2019-12-06,1997-09-01,16757
2019-12-06,2019-12-06,1997-10-01,16711
2019-12-06,2019-12-06,1997-11-01,16638
2019-12-06,2019-12-06,1997-12-01,16536
2019-12-06,2019-12-06,1998-01-01,16225
2019-12-06,2019-12-06,1998-02-01,16054
2019-12-06,2019-12-06,1998-03-01,15703
2019-12-06,2019-12-06,1998-04-01,15798
2019-12-06,2019-12-06,1998-05-01,16057
2019-12-06,2019-12-06,1998-06-01,15933
2019-12-06,2019-12-06,1998-07-01,16087
2019-12-06,2019-12-06,1998-08-01,15851
2019-12-06,2019-12-06,1998-09-01,15812
2019-12-06,2019-12-06,1998-10-01,15948
2019-12-06,2019-12-06,1998-11-01,16014
2019-12-06,2019-12-06,1998-12-01,16399
2019-12-06,2019-12-06,1999-01-01,16394
2019-12-06,2019-12-06,1999-02-01,16309
2019-12-06,2019-12-06,1999-03-01,16529
2019-12-06,2019-12-06,1999-04-01,17115
