realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,27835
2019-12-06,2019-12-06,1992-02-01,27720
2019-12-06,2019-12-06,1992-03-01,27848
2019-12-06,2019-12-06,1992-04-01,27867
2019-12-06,2019-12-06,1992-05-01,27987
2019-12-06,2019-12-06,1992-06-01,28011
2019-12-06,2019-12-06,1992-07-01,28183
2019-12-06,2019-12-06,1992-08-01,28222
2019-12-06,2019-12-06,1992-09-01,28122
2019-12-06,2019-12-06,1992-10-01,28328
2019-12-06,2019-12-06,1992-11-01,28184
2019-12-06,2019-12-06,1992-12-01,28233
2019-12-06,2019-12-06,1993-01-01,28220
2019-12-06,2019-12-06,1993-02-01,28419
2019-12-06,2019-12-06,1993-03-01,28307
2019-12-06,2019-12-06,1993-04-01,28367
2019-12-06,2019-12-06,1993-05-01,28386
2019-12-06,2019-12-06,1993-06-01,28377
2019-12-06,2019-12-06,1993-07-01,28554
2019-12-06,2019-12-06,1993-08-01,28357
2019-12-06,2019-12-06,1993-09-01,28478
2019-12-06,2019-12-06,1993-10-01,28618
2019-12-06,2019-12-06,1993-11-01,28625
2019-12-06,2019-12-06,1993-12-01,28773
2019-12-06,2019-12-06,1994-01-01,28722
2019-12-06,2019-12-06,1994-02-01,28923
2019-12-06,2019-12-06,1994-03-01,28914
2019-12-06,2019-12-06,1994-04-01,29111
2019-12-06,2019-12-06,1994-05-01,29025
2019-12-06,2019-12-06,1994-06-01,29311
2019-12-06,2019-12-06,1994-07-01,29149
2019-12-06,2019-12-06,1994-08-01,29410
2019-12-06,2019-12-06,1994-09-01,29545
2019-12-06,2019-12-06,1994-10-01,29343
2019-12-06,2019-12-06,1994-11-01,29520
2019-12-06,2019-12-06,1994-12-01,29443
2019-12-06,2019-12-06,1995-01-01,29791
2019-12-06,2019-12-06,1995-02-01,29604
2019-12-06,2019-12-06,1995-03-01,29619
2019-12-06,2019-12-06,1995-04-01,29499
2019-12-06,2019-12-06,1995-05-01,29763
2019-12-06,2019-12-06,1995-06-01,29812
2019-12-06,2019-12-06,1995-07-01,29675
2019-12-06,2019-12-06,1995-08-01,29721
2019-12-06,2019-12-06,1995-09-01,29735
2019-12-06,2019-12-06,1995-10-01,29692
2019-12-06,2019-12-06,1995-11-01,29858
2019-12-06,2019-12-06,1995-12-01,29994
2019-12-06,2019-12-06,1996-01-01,30105
2019-12-06,2019-12-06,1996-02-01,29990
2019-12-06,2019-12-06,1996-03-01,30125
2019-12-06,2019-12-06,1996-04-01,30220
2019-12-06,2019-12-06,1996-05-01,30245
