realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,33478
2019-12-06,2019-12-06,1992-02-01,33817
2019-12-06,2019-12-06,1992-03-01,33336
2019-12-06,2019-12-06,1992-04-01,33776
2019-12-06,2019-12-06,1992-05-01,34357
2019-12-06,2019-12-06,1992-06-01,34781
2019-12-06,2019-12-06,1992-07-01,35199
2019-12-06,2019-12-06,1992-08-01,34585
2019-12-06,2019-12-06,1992-09-01,35890
2019-12-06,2019-12-06,1992-10-01,35972
2019-12-06,2019-12-06,1992-11-01,35928
2019-12-06,2019-12-06,1992-12-01,36272
2019-12-06,2019-12-06,1993-01-01,37621
2019-12-06,2019-12-06,1993-02-01,36723
2019-12-06,2019-12-06,1993-03-01,35955
2019-12-06,2019-12-06,1993-04-01,38521
2019-12-06,2019-12-06,1993-05-01,39006
2019-12-06,2019-12-06,1993-06-01,38892
2019-12-06,2019-12-06,1993-07-01,40290
2019-12-06,2019-12-06,1993-08-01,40504
2019-12-06,2019-12-06,1993-09-01,40203
2019-12-06,2019-12-06,1993-10-01,40857
2019-12-06,2019-12-06,1993-11-01,42077
2019-12-06,2019-12-06,1993-12-01,42796
2019-12-06,2019-12-06,1994-01-01,42660
2019-12-06,2019-12-06,1994-02-01,43685
2019-12-06,2019-12-06,1994-03-01,44475
2019-12-06,2019-12-06,1994-04-01,45072
2019-12-06,2019-12-06,1994-05-01,44098
2019-12-06,2019-12-06,1994-06-01,44541
2019-12-06,2019-12-06,1994-07-01,44477
2019-12-06,2019-12-06,1994-08-01,45232
2019-12-06,2019-12-06,1994-09-01,46314
2019-12-06,2019-12-06,1994-10-01,47041
2019-12-06,2019-12-06,1994-11-01,47203
2019-12-06,2019-12-06,1994-12-01,46941
2019-12-06,2019-12-06,1995-01-01,47224
2019-12-06,2019-12-06,1995-02-01,45902
2019-12-06,2019-12-06,1995-03-01,46681
2019-12-06,2019-12-06,1995-04-01,47056
2019-12-06,2019-12-06,1995-05-01,47718
2019-12-06,2019-12-06,1995-06-01,49652
2019-12-06,2019-12-06,1995-07-01,48832
2019-12-06,2019-12-06,1995-08-01,49748
2019-12-06,2019-12-06,1995-09-01,49188
2019-12-06,2019-12-06,1995-10-01,49271
2019-12-06,2019-12-06,1995-11-01,49863
2019-12-06,2019-12-06,1995-12-01,50163
2019-12-06,2019-12-06,1996-01-01,50349
2019-12-06,2019-12-06,1996-02-01,52288
2019-12-06,2019-12-06,1996-03-01,52348
2019-12-06,2019-12-06,1996-04-01,51531
2019-12-06,2019-12-06,1996-05-01,52200
2019-12-06,2019-12-06,1996-06-01,51798
2019-12-06,2019-12-06,1996-07-01,52004
2019-12-06,2019-12-06,1996-08-01,51472
2019-12-06,2019-12-06,1996-09-01,53184
2019-12-06,2019-12-06,1996-10-01,53450
2019-12-06,2019-12-06,1996-11-01,52710
2019-12-06,2019-12-06,1996-12-01,52835
2019-12-06,2019-12-06,1997-01-01,54010
2019-12-06,2019-12-06,1997-02-01,54601
2019-12-06,2019-12-06,1997-03-01,54233
2019-12-06,2019-12-06,1997-04-01,53861
2019-12-06,2019-12-06,1997-05-01,52191
2019-12-06,2019-12-06,1997-06-01,54066
2019-12-06,2019-12-06,1997-07-01,55255
2019-12-06,2019-12-06,1997-08-01,55488
2019-12-06,2019-12-06,1997-09-01,55334
2019-12-06,2019-12-06,1997-10-01,54856
2019-12-06,2019-12-06,1997-11-01,55314
2019-12-06,2019-12-06,1997-12-01,55763
2019-12-06,2019-12-06,1998-01-01,55494
2019-12-06,2019-12-06,1998-02-01,54841
2019-12-06,2019-12-06,1998-03-01,56135
2019-12-06,2019-12-06,1998-04-01,57464
2019-12-06,2019-12-06,1998-05-01,57882
2019-12-06,2019-12-06,1998-06-01,59264
2019-12-06,2019-12-06,1998-07-01,56320
2019-12-06,2019-12-06,1998-08-01,54997
2019-12-06,2019-12-06,1998-09-01,57196
2019-12-06,2019-12-06,1998-10-01,59294
2019-12-06,2019-12-06,1998-11-01,59817
2019-12-06,2019-12-06,1998-12-01,60473
2019-12-06,2019-12-06,1999-01-01,60535
2019-12-06,2019-12-06,1999-02-01,61260
2019-12-06,2019-12-06,1999-03-01,61641
2019-12-06,2019-12-06,1999-04-01,62150
2019-12-06,2019-12-06,1999-05-01,63211
2019-12-06,2019-12-06,1999-06-01,63452
2019-12-06,2019-12-06,1999-07-01,64509
2019-12-06,2019-12-06,1999-08-01,65713
2019-12-06,2019-12-06,1999-09-01,65150
2019-12-06,2019-12-06,1999-10-01,64519
2019-12-06,2019-12-06,1999-11-01,66269
2019-12-06,2019-12-06,1999-12-01,65909
2019-12-06,2019-12-06,2000-01-01,67679
2019-12-06,2019-12-06,2000-02-01,69085
2019-12-06,2019-12-06,2000-03-01,68433
2019-12-06,2019-12-06,2000-04-01,65812
2019-12-06,2019-12-06,2000-05-01,65781
2019-12-06,2019-12-06,2000-06-01,66638
2019-12-06,2019-12-06,2000-07-01,65205
2019-12-06,2019-12-06,2000-08-01,65311
2019-12-06,2019-12-06,2000-09-01,66850
2019-12-06,2019-12-06,2000-10-01,66208
2019-12-06,2019-12-06,2000-11-01,64645
2019-12-06,2019-12-06,2000-12-01,63524
2019-12-06,2019-12-06,2001-01-01,65926
2019-12-06,2019-12-06,2001-02-01,66188
2019-12-06,2019-12-06,2001-03-01,65671
2019-12-06,2019-12-06,2001-04-01,66933
2019-12-06,2019-12-06,2001-05-01,67039
2019-12-06,2019-12-06,2001-06-01,66710
2019-12-06,2019-12-06,2001-07-01,66067
2019-12-06,2019-12-06,2001-08-01,66350
2019-12-06,2019-12-06,2001-09-01,63929
2019-12-06,2019-12-06,2001-10-01,80455
2019-12-06,2019-12-06,2001-11-01,72413
2019-12-06,2019-12-06,2001-12-01,68220
2019-12-06,2019-12-06,2002-01-01,67665
2019-12-06,2019-12-06,2002-02-01,68168
2019-12-06,2019-12-06,2002-03-01,66570
2019-12-06,2019-12-06,2002-04-01,68251
2019-12-06,2019-12-06,2002-05-01,65062
2019-12-06,2019-12-06,2002-06-01,67354
2019-12-06,2019-12-06,2002-07-01,69944
2019-12-06,2019-12-06,2002-08-01,72204
2019-12-06,2019-12-06,2002-09-01,68066
2019-12-06,2019-12-06,2002-10-01,67553
2019-12-06,2019-12-06,2002-11-01,67931
2019-12-06,2019-12-06,2002-12-01,69794
2019-12-06,2019-12-06,2003-01-01,69673
2019-12-06,2019-12-06,2003-02-01,66535
2019-12-06,2019-12-06,2003-03-01,68628
2019-12-06,2019-12-06,2003-04-01,69580
2019-12-06,2019-12-06,2003-05-01,69660
2019-12-06,2019-12-06,2003-06-01,70325
2019-12-06,2019-12-06,2003-07-01,71049
2019-12-06,2019-12-06,2003-08-01,72919
2019-12-06,2019-12-06,2003-09-01,71184
2019-12-06,2019-12-06,2003-10-01,69817
2019-12-06,2019-12-06,2003-11-01,71738
2019-12-06,2019-12-06,2003-12-01,70103
2019-12-06,2019-12-06,2004-01-01,69270
2019-12-06,2019-12-06,2004-02-01,71093
2019-12-06,2019-12-06,2004-03-01,72137
2019-12-06,2019-12-06,2004-04-01,69960
2019-12-06,2019-12-06,2004-05-01,72821
2019-12-06,2019-12-06,2004-06-01,68991
2019-12-06,2019-12-06,2004-07-01,71238
2019-12-06,2019-12-06,2004-08-01,71365
2019-12-06,2019-12-06,2004-09-01,74729
2019-12-06,2019-12-06,2004-10-01,73858
2019-12-06,2019-12-06,2004-11-01,73407
2019-12-06,2019-12-06,2004-12-01,75387
2019-12-06,2019-12-06,2005-01-01,72083
2019-12-06,2019-12-06,2005-02-01,73773
2019-12-06,2019-12-06,2005-03-01,74147
2019-12-06,2019-12-06,2005-04-01,73649
2019-12-06,2019-12-06,2005-05-01,73225
2019-12-06,2019-12-06,2005-06-01,79639
2019-12-06,2019-12-06,2005-07-01,81605
2019-12-06,2019-12-06,2005-08-01,73787
2019-12-06,2019-12-06,2005-09-01,70627
2019-12-06,2019-12-06,2005-10-01,67853
2019-12-06,2019-12-06,2005-11-01,73211
2019-12-06,2019-12-06,2005-12-01,73332
2019-12-06,2019-12-06,2006-01-01,76757
2019-12-06,2019-12-06,2006-02-01,74108
2019-12-06,2019-12-06,2006-03-01,74609
2019-12-06,2019-12-06,2006-04-01,74898
2019-12-06,2019-12-06,2006-05-01,74081
2019-12-06,2019-12-06,2006-06-01,75369
2019-12-06,2019-12-06,2006-07-01,75964
2019-12-06,2019-12-06,2006-08-01,75187
2019-12-06,2019-12-06,2006-09-01,74579
2019-12-06,2019-12-06,2006-10-01,75447
2019-12-06,2019-12-06,2006-11-01,76064
2019-12-06,2019-12-06,2006-12-01,75438
2019-12-06,2019-12-06,2007-01-01,75399
2019-12-06,2019-12-06,2007-02-01,75841
2019-12-06,2019-12-06,2007-03-01,75472
2019-12-06,2019-12-06,2007-04-01,76205
2019-12-06,2019-12-06,2007-05-01,77186
2019-12-06,2019-12-06,2007-06-01,74794
2019-12-06,2019-12-06,2007-07-01,74932
2019-12-06,2019-12-06,2007-08-01,76549
2019-12-06,2019-12-06,2007-09-01,77176
2019-12-06,2019-12-06,2007-10-01,77617
2019-12-06,2019-12-06,2007-11-01,75921
2019-12-06,2019-12-06,2007-12-01,73345
2019-12-06,2019-12-06,2008-01-01,73834
2019-12-06,2019-12-06,2008-02-01,72206
2019-12-06,2019-12-06,2008-03-01,71774
2019-12-06,2019-12-06,2008-04-01,70052
2019-12-06,2019-12-06,2008-05-01,69143
2019-12-06,2019-12-06,2008-06-01,67161
2019-12-06,2019-12-06,2008-07-01,64397
2019-12-06,2019-12-06,2008-08-01,64985
2019-12-06,2019-12-06,2008-09-01,62549
2019-12-06,2019-12-06,2008-10-01,56599
2019-12-06,2019-12-06,2008-11-01,54984
2019-12-06,2019-12-06,2008-12-01,54123
2019-12-06,2019-12-06,2009-01-01,55790
2019-12-06,2019-12-06,2009-02-01,54188
2019-12-06,2019-12-06,2009-03-01,53100
2019-12-06,2019-12-06,2009-04-01,53557
2019-12-06,2019-12-06,2009-05-01,54089
2019-12-06,2019-12-06,2009-06-01,56611
2019-12-06,2019-12-06,2009-07-01,57748
2019-12-06,2019-12-06,2009-08-01,62263
2019-12-06,2019-12-06,2009-09-01,53534
2019-12-06,2019-12-06,2009-10-01,56469
2019-12-06,2019-12-06,2009-11-01,57355
2019-12-06,2019-12-06,2009-12-01,57079
2019-12-06,2019-12-06,2010-01-01,56920
2019-12-06,2019-12-06,2010-02-01,55856
2019-12-06,2019-12-06,2010-03-01,60953
2019-12-06,2019-12-06,2010-04-01,61823
2019-12-06,2019-12-06,2010-05-01,61617
2019-12-06,2019-12-06,2010-06-01,61478
2019-12-06,2019-12-06,2010-07-01,62510
2019-12-06,2019-12-06,2010-08-01,62551
2019-12-06,2019-12-06,2010-09-01,63136
2019-12-06,2019-12-06,2010-10-01,64805
2019-12-06,2019-12-06,2010-11-01,65498
2019-12-06,2019-12-06,2010-12-01,65244
2019-12-06,2019-12-06,2011-01-01,66286
2019-12-06,2019-12-06,2011-02-01,67320
2019-12-06,2019-12-06,2011-03-01,67587
2019-12-06,2019-12-06,2011-04-01,66876
2019-12-06,2019-12-06,2011-05-01,65855
2019-12-06,2019-12-06,2011-06-01,66654
2019-12-06,2019-12-06,2011-07-01,66429
2019-12-06,2019-12-06,2011-08-01,65792
2019-12-06,2019-12-06,2011-09-01,68823
2019-12-06,2019-12-06,2011-10-01,69812
2019-12-06,2019-12-06,2011-11-01,70293
2019-12-06,2019-12-06,2011-12-01,71614
2019-12-06,2019-12-06,2012-01-01,71646
2019-12-06,2019-12-06,2012-02-01,72589
2019-12-06,2019-12-06,2012-03-01,72775
2019-12-06,2019-12-06,2012-04-01,72871
2019-12-06,2019-12-06,2012-05-01,73572
2019-12-06,2019-12-06,2012-06-01,72581
2019-12-06,2019-12-06,2012-07-01,73004
2019-12-06,2019-12-06,2012-08-01,73859
2019-12-06,2019-12-06,2012-09-01,75275
2019-12-06,2019-12-06,2012-10-01,74807
2019-12-06,2019-12-06,2012-11-01,75763
2019-12-06,2019-12-06,2012-12-01,76859
2019-12-06,2019-12-06,2013-01-01,77647
2019-12-06,2019-12-06,2013-02-01,78801
2019-12-06,2019-12-06,2013-03-01,77922
2019-12-06,2019-12-06,2013-04-01,78227
2019-12-06,2019-12-06,2013-05-01,79398
2019-12-06,2019-12-06,2013-06-01,81090
2019-12-06,2019-12-06,2013-07-01,81458
2019-12-06,2019-12-06,2013-08-01,81154
2019-12-06,2019-12-06,2013-09-01,79638
2019-12-06,2019-12-06,2013-10-01,81123
2019-12-06,2019-12-06,2013-11-01,81678
2019-12-06,2019-12-06,2013-12-01,80982
2019-12-06,2019-12-06,2014-01-01,78622
2019-12-06,2019-12-06,2014-02-01,81101
2019-12-06,2019-12-06,2014-03-01,83884
2019-12-06,2019-12-06,2014-04-01,85412
2019-12-06,2019-12-06,2014-05-01,85579
2019-12-06,2019-12-06,2014-06-01,85582
2019-12-06,2019-12-06,2014-07-01,86008
2019-12-06,2019-12-06,2014-08-01,86845
2019-12-06,2019-12-06,2014-09-01,85954
2019-12-06,2019-12-06,2014-10-01,86269
2019-12-06,2019-12-06,2014-11-01,87305
2019-12-06,2019-12-06,2014-12-01,86863
2019-12-06,2019-12-06,2015-01-01,88050
2019-12-06,2019-12-06,2015-02-01,86646
2019-12-06,2019-12-06,2015-03-01,90091
2019-12-06,2019-12-06,2015-04-01,90759
2019-12-06,2019-12-06,2015-05-01,91620
2019-12-06,2019-12-06,2015-06-01,91594
2019-12-06,2019-12-06,2015-07-01,91574
2019-12-06,2019-12-06,2015-08-01,92241
2019-12-06,2019-12-06,2015-09-01,92696
2019-12-06,2019-12-06,2015-10-01,92334
2019-12-06,2019-12-06,2015-11-01,92913
2019-12-06,2019-12-06,2015-12-01,92561
2019-12-06,2019-12-06,2016-01-01,92466
2019-12-06,2019-12-06,2016-02-01,94522
2019-12-06,2019-12-06,2016-03-01,92472
2019-12-06,2019-12-06,2016-04-01,93273
2019-12-06,2019-12-06,2016-05-01,93363
2019-12-06,2019-12-06,2016-06-01,93812
2019-12-06,2019-12-06,2016-07-01,95319
2019-12-06,2019-12-06,2016-08-01,95667
2019-12-06,2019-12-06,2016-09-01,96275
2019-12-06,2019-12-06,2016-10-01,96440
2019-12-06,2019-12-06,2016-11-01,96066
2019-12-06,2019-12-06,2016-12-01,98489
2019-12-06,2019-12-06,2017-01-01,98355
2019-12-06,2019-12-06,2017-02-01,97421
2019-12-06,2019-12-06,2017-03-01,95311
2019-12-06,2019-12-06,2017-04-01,96510
2019-12-06,2019-12-06,2017-05-01,96852
2019-12-06,2019-12-06,2017-06-01,97717
2019-12-06,2019-12-06,2017-07-01,97695
2019-12-06,2019-12-06,2017-08-01,95872
2019-12-06,2019-12-06,2017-09-01,100247
2019-12-06,2019-12-06,2017-10-01,101069
2019-12-06,2019-12-06,2017-11-01,100071
2019-12-06,2019-12-06,2017-12-01,99812
2019-12-06,2019-12-06,2018-01-01,99973
2019-12-06,2019-12-06,2018-02-01,98816
2019-12-06,2019-12-06,2018-03-01,99306
2019-12-06,2019-12-06,2018-04-01,99932
2019-12-06,2019-12-06,2018-05-01,100473
2019-12-06,2019-12-06,2018-06-01,100470
2019-12-06,2019-12-06,2018-07-01,100876
2019-12-06,2019-12-06,2018-08-01,99346
2019-12-06,2019-12-06,2018-09-01,99872
2019-12-06,2019-12-06,2018-10-01,101123
2019-12-06,2019-12-06,2018-11-01,102032
2019-12-06,2019-12-06,2018-12-01,102467
2019-12-06,2019-12-06,2019-01-01,100431
2019-12-06,2019-12-06,2019-02-01,100089
2019-12-06,2019-12-06,2019-03-01,103486
