realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,6515
2019-12-06,2019-12-06,1992-02-01,6110
2019-12-06,2019-12-06,1992-03-01,6018
2019-12-06,2019-12-06,1992-04-01,6327
2019-12-06,2019-12-06,1992-05-01,6550
2019-12-06,2019-12-06,1992-06-01,6653
2019-12-06,2019-12-06,1992-07-01,6891
2019-12-06,2019-12-06,1992-08-01,6766
2019-12-06,2019-12-06,1992-09-01,6714
2019-12-06,2019-12-06,1992-10-01,6665
2019-12-06,2019-12-06,1992-11-01,6610
2019-12-06,2019-12-06,1992-12-01,6597
2019-12-06,2019-12-06,1993-01-01,6644
2019-12-06,2019-12-06,1993-02-01,6780
2019-12-06,2019-12-06,1993-03-01,7009
2019-12-06,2019-12-06,1993-04-01,6868
2019-12-06,2019-12-06,1993-05-01,7309
2019-12-06,2019-12-06,1993-06-01,6858
2019-12-06,2019-12-06,1993-07-01,7046
2019-12-06,2019-12-06,1993-08-01,6999
2019-12-06,2019-12-06,1993-09-01,7486
2019-12-06,2019-12-06,1993-10-01,7343
2019-12-06,2019-12-06,1993-11-01,7561
2019-12-06,2019-12-06,1993-12-01,7438
2019-12-06,2019-12-06,1994-01-01,7720
2019-12-06,2019-12-06,1994-02-01,7681
2019-12-06,2019-12-06,1994-03-01,7853
2019-12-06,2019-12-06,1994-04-01,7941
2019-12-06,2019-12-06,1994-05-01,7859
2019-12-06,2019-12-06,1994-06-01,8074
2019-12-06,2019-12-06,1994-07-01,8077
2019-12-06,2019-12-06,1994-08-01,8241
2019-12-06,2019-12-06,1994-09-01,8106
2019-12-06,2019-12-06,1994-10-01,8306
2019-12-06,2019-12-06,1994-11-01,8092
2019-12-06,2019-12-06,1994-12-01,8237
2019-12-06,2019-12-06,1995-01-01,8182
2019-12-06,2019-12-06,1995-02-01,8307
2019-12-06,2019-12-06,1995-03-01,8216
2019-12-06,2019-12-06,1995-04-01,8365
2019-12-06,2019-12-06,1995-05-01,8518
2019-12-06,2019-12-06,1995-06-01,8429
2019-12-06,2019-12-06,1995-07-01,8499
2019-12-06,2019-12-06,1995-08-01,8699
2019-12-06,2019-12-06,1995-09-01,8842
2019-12-06,2019-12-06,1995-10-01,8702
2019-12-06,2019-12-06,1995-11-01,9170
2019-12-06,2019-12-06,1995-12-01,9543
2019-12-06,2019-12-06,1996-01-01,9038
2019-12-06,2019-12-06,1996-02-01,9400
2019-12-06,2019-12-06,1996-03-01,9606
2019-12-06,2019-12-06,1996-04-01,9632
2019-12-06,2019-12-06,1996-05-01,9519
2019-12-06,2019-12-06,1996-06-01,9610
2019-12-06,2019-12-06,1996-07-01,9550
2019-12-06,2019-12-06,1996-08-01,9468
2019-12-06,2019-12-06,1996-09-01,9889
2019-12-06,2019-12-06,1996-10-01,10025
2019-12-06,2019-12-06,1996-11-01,10390
2019-12-06,2019-12-06,1996-12-01,10765
2019-12-06,2019-12-06,1997-01-01,10006
2019-12-06,2019-12-06,1997-02-01,10350
2019-12-06,2019-12-06,1997-03-01,10488
2019-12-06,2019-12-06,1997-04-01,10642
2019-12-06,2019-12-06,1997-05-01,10547
2019-12-06,2019-12-06,1997-06-01,10643
2019-12-06,2019-12-06,1997-07-01,10836
2019-12-06,2019-12-06,1997-08-01,10432
2019-12-06,2019-12-06,1997-09-01,10669
2019-12-06,2019-12-06,1997-10-01,10529
2019-12-06,2019-12-06,1997-11-01,10675
2019-12-06,2019-12-06,1997-12-01,10490
2019-12-06,2019-12-06,1998-01-01,10390
2019-12-06,2019-12-06,1998-02-01,10626
2019-12-06,2019-12-06,1998-03-01,10844
2019-12-06,2019-12-06,1998-04-01,10992
2019-12-06,2019-12-06,1998-05-01,11189
2019-12-06,2019-12-06,1998-06-01,11103
2019-12-06,2019-12-06,1998-07-01,11580
2019-12-06,2019-12-06,1998-08-01,11375
2019-12-06,2019-12-06,1998-09-01,11302
2019-12-06,2019-12-06,1998-10-01,11577
2019-12-06,2019-12-06,1998-11-01,11553
2019-12-06,2019-12-06,1998-12-01,11459
2019-12-06,2019-12-06,1999-01-01,11720
2019-12-06,2019-12-06,1999-02-01,11821
2019-12-06,2019-12-06,1999-03-01,12052
2019-12-06,2019-12-06,1999-04-01,12345
2019-12-06,2019-12-06,1999-05-01,12558
2019-12-06,2019-12-06,1999-06-01,12558
2019-12-06,2019-12-06,1999-07-01,12742
2019-12-06,2019-12-06,1999-08-01,12965
2019-12-06,2019-12-06,1999-09-01,13196
2019-12-06,2019-12-06,1999-10-01,13127
2019-12-06,2019-12-06,1999-11-01,13110
2019-12-06,2019-12-06,1999-12-01,13528
2019-12-06,2019-12-06,2000-01-01,13855
2019-12-06,2019-12-06,2000-02-01,14241
2019-12-06,2019-12-06,2000-03-01,14261
2019-12-06,2019-12-06,2000-04-01,14458
2019-12-06,2019-12-06,2000-05-01,14539
2019-12-06,2019-12-06,2000-06-01,14949
2019-12-06,2019-12-06,2000-07-01,15037
2019-12-06,2019-12-06,2000-08-01,15280
2019-12-06,2019-12-06,2000-09-01,15775
2019-12-06,2019-12-06,2000-10-01,15698
2019-12-06,2019-12-06,2000-11-01,15883
2019-12-06,2019-12-06,2000-12-01,16538
2019-12-06,2019-12-06,2001-01-01,15505
2019-12-06,2019-12-06,2001-02-01,15223
2019-12-06,2019-12-06,2001-03-01,15354
2019-12-06,2019-12-06,2001-04-01,15289
2019-12-06,2019-12-06,2001-05-01,14876
2019-12-06,2019-12-06,2001-06-01,14981
2019-12-06,2019-12-06,2001-07-01,14964
2019-12-06,2019-12-06,2001-08-01,15214
2019-12-06,2019-12-06,2001-09-01,14473
2019-12-06,2019-12-06,2001-10-01,14979
2019-12-06,2019-12-06,2001-11-01,14837
2019-12-06,2019-12-06,2001-12-01,14810
2019-12-06,2019-12-06,2002-01-01,15091
2019-12-06,2019-12-06,2002-02-01,15054
2019-12-06,2019-12-06,2002-03-01,15345
2019-12-06,2019-12-06,2002-04-01,15675
2019-12-06,2019-12-06,2002-05-01,15850
2019-12-06,2019-12-06,2002-06-01,15725
2019-12-06,2019-12-06,2002-07-01,16018
2019-12-06,2019-12-06,2002-08-01,15881
2019-12-06,2019-12-06,2002-09-01,15725
2019-12-06,2019-12-06,2002-10-01,15977
2019-12-06,2019-12-06,2002-11-01,16416
2019-12-06,2019-12-06,2002-12-01,16497
2019-12-06,2019-12-06,2003-01-01,16434
2019-12-06,2019-12-06,2003-02-01,16933
2019-12-06,2019-12-06,2003-03-01,16764
2019-12-06,2019-12-06,2003-04-01,16593
2019-12-06,2019-12-06,2003-05-01,16722
2019-12-06,2019-12-06,2003-06-01,16938
2019-12-06,2019-12-06,2003-07-01,17049
2019-12-06,2019-12-06,2003-08-01,17312
2019-12-06,2019-12-06,2003-09-01,17595
2019-12-06,2019-12-06,2003-10-01,17778
2019-12-06,2019-12-06,2003-11-01,17881
2019-12-06,2019-12-06,2003-12-01,17742
2019-12-06,2019-12-06,2004-01-01,18275
2019-12-06,2019-12-06,2004-02-01,18566
2019-12-06,2019-12-06,2004-03-01,18072
2019-12-06,2019-12-06,2004-04-01,18442
2019-12-06,2019-12-06,2004-05-01,18351
2019-12-06,2019-12-06,2004-06-01,18649
2019-12-06,2019-12-06,2004-07-01,18927
2019-12-06,2019-12-06,2004-08-01,19178
2019-12-06,2019-12-06,2004-09-01,19472
2019-12-06,2019-12-06,2004-10-01,19675
