realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,3385
2019-12-06,2019-12-06,1992-02-01,3516
2019-12-06,2019-12-06,1992-03-01,3482
2019-12-06,2019-12-06,1992-04-01,3535
2019-12-06,2019-12-06,1992-05-01,3512
2019-12-06,2019-12-06,1992-06-01,3549
2019-12-06,2019-12-06,1992-07-01,3586
2019-12-06,2019-12-06,1992-08-01,3512
2019-12-06,2019-12-06,1992-09-01,3566
2019-12-06,2019-12-06,1992-10-01,3607
2019-12-06,2019-12-06,1992-11-01,3626
2019-12-06,2019-12-06,1992-12-01,3800
2019-12-06,2019-12-06,1993-01-01,3648
2019-12-06,2019-12-06,1993-02-01,3585
2019-12-06,2019-12-06,1993-03-01,3608
2019-12-06,2019-12-06,1993-04-01,3749
2019-12-06,2019-12-06,1993-05-01,3746
2019-12-06,2019-12-06,1993-06-01,3702
2019-12-06,2019-12-06,1993-07-01,3810
2019-12-06,2019-12-06,1993-08-01,3804
2019-12-06,2019-12-06,1993-09-01,3825
2019-12-06,2019-12-06,1993-10-01,3817
2019-12-06,2019-12-06,1993-11-01,3930
2019-12-06,2019-12-06,1993-12-01,4018
2019-12-06,2019-12-06,1994-01-01,3981
2019-12-06,2019-12-06,1994-02-01,4095
2019-12-06,2019-12-06,1994-03-01,4131
2019-12-06,2019-12-06,1994-04-01,4035
2019-12-06,2019-12-06,1994-05-01,4119
2019-12-06,2019-12-06,1994-06-01,4135
2019-12-06,2019-12-06,1994-07-01,4111
2019-12-06,2019-12-06,1994-08-01,4249
2019-12-06,2019-12-06,1994-09-01,4306
2019-12-06,2019-12-06,1994-10-01,4347
2019-12-06,2019-12-06,1994-11-01,4221
2019-12-06,2019-12-06,1994-12-01,4255
2019-12-06,2019-12-06,1995-01-01,4436
2019-12-06,2019-12-06,1995-02-01,4298
2019-12-06,2019-12-06,1995-03-01,4347
2019-12-06,2019-12-06,1995-04-01,4345
2019-12-06,2019-12-06,1995-05-01,4380
2019-12-06,2019-12-06,1995-06-01,4421
2019-12-06,2019-12-06,1995-07-01,4429
2019-12-06,2019-12-06,1995-08-01,4462
2019-12-06,2019-12-06,1995-09-01,4441
2019-12-06,2019-12-06,1995-10-01,4414
2019-12-06,2019-12-06,1995-11-01,4532
2019-12-06,2019-12-06,1995-12-01,4505
2019-12-06,2019-12-06,1996-01-01,4600
2019-12-06,2019-12-06,1996-02-01,4485
2019-12-06,2019-12-06,1996-03-01,4548
2019-12-06,2019-12-06,1996-04-01,4628
2019-12-06,2019-12-06,1996-05-01,4432
2019-12-06,2019-12-06,1996-06-01,4609
2019-12-06,2019-12-06,1996-07-01,4655
2019-12-06,2019-12-06,1996-08-01,4738
2019-12-06,2019-12-06,1996-09-01,4690
2019-12-06,2019-12-06,1996-10-01,4769
2019-12-06,2019-12-06,1996-11-01,4692
2019-12-06,2019-12-06,1996-12-01,4940
2019-12-06,2019-12-06,1997-01-01,4748
2019-12-06,2019-12-06,1997-02-01,4666
2019-12-06,2019-12-06,1997-03-01,4698
2019-12-06,2019-12-06,1997-04-01,4725
2019-12-06,2019-12-06,1997-05-01,4763
2019-12-06,2019-12-06,1997-06-01,4838
2019-12-06,2019-12-06,1997-07-01,4786
2019-12-06,2019-12-06,1997-08-01,4745
2019-12-06,2019-12-06,1997-09-01,4827
2019-12-06,2019-12-06,1997-10-01,4878
2019-12-06,2019-12-06,1997-11-01,5015
2019-12-06,2019-12-06,1997-12-01,4915
2019-12-06,2019-12-06,1998-01-01,4834
2019-12-06,2019-12-06,1998-02-01,5027
2019-12-06,2019-12-06,1998-03-01,5008
2019-12-06,2019-12-06,1998-04-01,5036
2019-12-06,2019-12-06,1998-05-01,4986
2019-12-06,2019-12-06,1998-06-01,5083
2019-12-06,2019-12-06,1998-07-01,5032
2019-12-06,2019-12-06,1998-08-01,5057
2019-12-06,2019-12-06,1998-09-01,5047
2019-12-06,2019-12-06,1998-10-01,5108
2019-12-06,2019-12-06,1998-11-01,5093
2019-12-06,2019-12-06,1998-12-01,5154
2019-12-06,2019-12-06,1999-01-01,5122
2019-12-06,2019-12-06,1999-02-01,5292
2019-12-06,2019-12-06,1999-03-01,5273
2019-12-06,2019-12-06,1999-04-01,5277
2019-12-06,2019-12-06,1999-05-01,5328
2019-12-06,2019-12-06,1999-06-01,5367
2019-12-06,2019-12-06,1999-07-01,5326
2019-12-06,2019-12-06,1999-08-01,5290
2019-12-06,2019-12-06,1999-09-01,5385
2019-12-06,2019-12-06,1999-10-01,5373
2019-12-06,2019-12-06,1999-11-01,5414
2019-12-06,2019-12-06,1999-12-01,5455
2019-12-06,2019-12-06,2000-01-01,5232
2019-12-06,2019-12-06,2000-02-01,5541
2019-12-06,2019-12-06,2000-03-01,5635
2019-12-06,2019-12-06,2000-04-01,5649
2019-12-06,2019-12-06,2000-05-01,5757
2019-12-06,2019-12-06,2000-06-01,5686
2019-12-06,2019-12-06,2000-07-01,5800
2019-12-06,2019-12-06,2000-08-01,5633
2019-12-06,2019-12-06,2000-09-01,5728
2019-12-06,2019-12-06,2000-10-01,5626
2019-12-06,2019-12-06,2000-11-01,5615
2019-12-06,2019-12-06,2000-12-01,5601
2019-12-06,2019-12-06,2001-01-01,5386
2019-12-06,2019-12-06,2001-02-01,5715
2019-12-06,2019-12-06,2001-03-01,5723
2019-12-06,2019-12-06,2001-04-01,5658
2019-12-06,2019-12-06,2001-05-01,5679
2019-12-06,2019-12-06,2001-06-01,5621
2019-12-06,2019-12-06,2001-07-01,5703
2019-12-06,2019-12-06,2001-08-01,5775
2019-12-06,2019-12-06,2001-09-01,5672
2019-12-06,2019-12-06,2001-10-01,5798
2019-12-06,2019-12-06,2001-11-01,6066
2019-12-06,2019-12-06,2001-12-01,5797
2019-12-06,2019-12-06,2002-01-01,5775
2019-12-06,2019-12-06,2002-02-01,5711
2019-12-06,2019-12-06,2002-03-01,5717
2019-12-06,2019-12-06,2002-04-01,5799
2019-12-06,2019-12-06,2002-05-01,5731
2019-12-06,2019-12-06,2002-06-01,5670
2019-12-06,2019-12-06,2002-07-01,5666
2019-12-06,2019-12-06,2002-08-01,5689
2019-12-06,2019-12-06,2002-09-01,5852
2019-12-06,2019-12-06,2002-10-01,5839
2019-12-06,2019-12-06,2002-11-01,5985
2019-12-06,2019-12-06,2002-12-01,5809
2019-12-06,2019-12-06,2003-01-01,5794
2019-12-06,2019-12-06,2003-02-01,5576
2019-12-06,2019-12-06,2003-03-01,5660
2019-12-06,2019-12-06,2003-04-01,5709
2019-12-06,2019-12-06,2003-05-01,5748
2019-12-06,2019-12-06,2003-06-01,5908
2019-12-06,2019-12-06,2003-07-01,5808
2019-12-06,2019-12-06,2003-08-01,6132
2019-12-06,2019-12-06,2003-09-01,5954
2019-12-06,2019-12-06,2003-10-01,5841
2019-12-06,2019-12-06,2003-11-01,6011
2019-12-06,2019-12-06,2003-12-01,6013
2019-12-06,2019-12-06,2004-01-01,6087
2019-12-06,2019-12-06,2004-02-01,6093
2019-12-06,2019-12-06,2004-03-01,6067
2019-12-06,2019-12-06,2004-04-01,5941
2019-12-06,2019-12-06,2004-05-01,5985
2019-12-06,2019-12-06,2004-06-01,6017
2019-12-06,2019-12-06,2004-07-01,6124
2019-12-06,2019-12-06,2004-08-01,6192
2019-12-06,2019-12-06,2004-09-01,6111
2019-12-06,2019-12-06,2004-10-01,6094
2019-12-06,2019-12-06,2004-11-01,6140
2019-12-06,2019-12-06,2004-12-01,6122
2019-12-06,2019-12-06,2005-01-01,6192
2019-12-06,2019-12-06,2005-02-01,6269
2019-12-06,2019-12-06,2005-03-01,6137
2019-12-06,2019-12-06,2005-04-01,6318
2019-12-06,2019-12-06,2005-05-01,6232
2019-12-06,2019-12-06,2005-06-01,6135
2019-12-06,2019-12-06,2005-07-01,6239
2019-12-06,2019-12-06,2005-08-01,6274
2019-12-06,2019-12-06,2005-09-01,6155
2019-12-06,2019-12-06,2005-10-01,6377
2019-12-06,2019-12-06,2005-11-01,6287
2019-12-06,2019-12-06,2005-12-01,6462
2019-12-06,2019-12-06,2006-01-01,6735
2019-12-06,2019-12-06,2006-02-01,6629
2019-12-06,2019-12-06,2006-03-01,6610
2019-12-06,2019-12-06,2006-04-01,6580
2019-12-06,2019-12-06,2006-05-01,6503
2019-12-06,2019-12-06,2006-06-01,6524
2019-12-06,2019-12-06,2006-07-01,6461
2019-12-06,2019-12-06,2006-08-01,6412
2019-12-06,2019-12-06,2006-09-01,6690
2019-12-06,2019-12-06,2006-10-01,6589
2019-12-06,2019-12-06,2006-11-01,6461
2019-12-06,2019-12-06,2006-12-01,6566
2019-12-06,2019-12-06,2007-01-01,6489
2019-12-06,2019-12-06,2007-02-01,6494
2019-12-06,2019-12-06,2007-03-01,6779
2019-12-06,2019-12-06,2007-04-01,6640
2019-12-06,2019-12-06,2007-05-01,6805
2019-12-06,2019-12-06,2007-06-01,6850
2019-12-06,2019-12-06,2007-07-01,6936
2019-12-06,2019-12-06,2007-08-01,6780
2019-12-06,2019-12-06,2007-09-01,6749
2019-12-06,2019-12-06,2007-10-01,6834
2019-12-06,2019-12-06,2007-11-01,6940
2019-12-06,2019-12-06,2007-12-01,6756
2019-12-06,2019-12-06,2008-01-01,6818
2019-12-06,2019-12-06,2008-02-01,6751
2019-12-06,2019-12-06,2008-03-01,6733
2019-12-06,2019-12-06,2008-04-01,6809
2019-12-06,2019-12-06,2008-05-01,6949
2019-12-06,2019-12-06,2008-06-01,6879
2019-12-06,2019-12-06,2008-07-01,6858
2019-12-06,2019-12-06,2008-08-01,6931
2019-12-06,2019-12-06,2008-09-01,6536
2019-12-06,2019-12-06,2008-10-01,6426
2019-12-06,2019-12-06,2008-11-01,6431
2019-12-06,2019-12-06,2008-12-01,6470
2019-12-06,2019-12-06,2009-01-01,6661
2019-12-06,2019-12-06,2009-02-01,6535
2019-12-06,2019-12-06,2009-03-01,6360
2019-12-06,2019-12-06,2009-04-01,6514
2019-12-06,2019-12-06,2009-05-01,6453
2019-12-06,2019-12-06,2009-06-01,6473
2019-12-06,2019-12-06,2009-07-01,6455
2019-12-06,2019-12-06,2009-08-01,6628
2019-12-06,2019-12-06,2009-09-01,6484
2019-12-06,2019-12-06,2009-10-01,6408
2019-12-06,2019-12-06,2009-11-01,6307
2019-12-06,2019-12-06,2009-12-01,6523
2019-12-06,2019-12-06,2010-01-01,6555
2019-12-06,2019-12-06,2010-02-01,6404
2019-12-06,2019-12-06,2010-03-01,6494
2019-12-06,2019-12-06,2010-04-01,6445
2019-12-06,2019-12-06,2010-05-01,6460
2019-12-06,2019-12-06,2010-06-01,6504
2019-12-06,2019-12-06,2010-07-01,6495
2019-12-06,2019-12-06,2010-08-01,6532
2019-12-06,2019-12-06,2010-09-01,6462
2019-12-06,2019-12-06,2010-10-01,6533
2019-12-06,2019-12-06,2010-11-01,6671
2019-12-06,2019-12-06,2010-12-01,6584
2019-12-06,2019-12-06,2011-01-01,6544
2019-12-06,2019-12-06,2011-02-01,6620
2019-12-06,2019-12-06,2011-03-01,6644
2019-12-06,2019-12-06,2011-04-01,6637
2019-12-06,2019-12-06,2011-05-01,6557
2019-12-06,2019-12-06,2011-06-01,6592
2019-12-06,2019-12-06,2011-07-01,6435
2019-12-06,2019-12-06,2011-08-01,6655
2019-12-06,2019-12-06,2011-09-01,6693
2019-12-06,2019-12-06,2011-10-01,6535
2019-12-06,2019-12-06,2011-11-01,6501
2019-12-06,2019-12-06,2011-12-01,6327
2019-12-06,2019-12-06,2012-01-01,6625
2019-12-06,2019-12-06,2012-02-01,6748
2019-12-06,2019-12-06,2012-03-01,6902
2019-12-06,2019-12-06,2012-04-01,6859
2019-12-06,2019-12-06,2012-05-01,6877
2019-12-06,2019-12-06,2012-06-01,6797
2019-12-06,2019-12-06,2012-07-01,6798
2019-12-06,2019-12-06,2012-08-01,6692
2019-12-06,2019-12-06,2012-09-01,6677
2019-12-06,2019-12-06,2012-10-01,6695
2019-12-06,2019-12-06,2012-11-01,6681
2019-12-06,2019-12-06,2012-12-01,6790
2019-12-06,2019-12-06,2013-01-01,7037
2019-12-06,2019-12-06,2013-02-01,7024
2019-12-06,2019-12-06,2013-03-01,6900
2019-12-06,2019-12-06,2013-04-01,6812
2019-12-06,2019-12-06,2013-05-01,6866
2019-12-06,2019-12-06,2013-06-01,6916
2019-12-06,2019-12-06,2013-07-01,6940
2019-12-06,2019-12-06,2013-08-01,6777
2019-12-06,2019-12-06,2013-09-01,6880
2019-12-06,2019-12-06,2013-10-01,6871
2019-12-06,2019-12-06,2013-11-01,6895
2019-12-06,2019-12-06,2013-12-01,6871
2019-12-06,2019-12-06,2014-01-01,6485
2019-12-06,2019-12-06,2014-02-01,6804
2019-12-06,2019-12-06,2014-03-01,6811
2019-12-06,2019-12-06,2014-04-01,6931
2019-12-06,2019-12-06,2014-05-01,6913
2019-12-06,2019-12-06,2014-06-01,6975
2019-12-06,2019-12-06,2014-07-01,6962
2019-12-06,2019-12-06,2014-08-01,7174
2019-12-06,2019-12-06,2014-09-01,7075
2019-12-06,2019-12-06,2014-10-01,7173
2019-12-06,2019-12-06,2014-11-01,7139
2019-12-06,2019-12-06,2014-12-01,7051
2019-12-06,2019-12-06,2015-01-01,6934
2019-12-06,2019-12-06,2015-02-01,6967
2019-12-06,2019-12-06,2015-03-01,7063
