realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1992-01-01,146925
2019-12-06,2019-12-06,1992-02-01,147223
2019-12-06,2019-12-06,1992-03-01,146805
2019-12-06,2019-12-06,1992-04-01,148032
2019-12-06,2019-12-06,1992-05-01,149010
2019-12-06,2019-12-06,1992-06-01,149800
2019-12-06,2019-12-06,1992-07-01,150761
2019-12-06,2019-12-06,1992-08-01,151067
2019-12-06,2019-12-06,1992-09-01,152588
2019-12-06,2019-12-06,1992-10-01,153521
2019-12-06,2019-12-06,1992-11-01,153583
2019-12-06,2019-12-06,1992-12-01,155614
2019-12-06,2019-12-06,1993-01-01,157555
2019-12-06,2019-12-06,1993-02-01,156266
2019-12-06,2019-12-06,1993-03-01,154752
2019-12-06,2019-12-06,1993-04-01,158979
2019-12-06,2019-12-06,1993-05-01,160605
2019-12-06,2019-12-06,1993-06-01,160127
2019-12-06,2019-12-06,1993-07-01,162816
2019-12-06,2019-12-06,1993-08-01,162506
2019-12-06,2019-12-06,1993-09-01,163258
2019-12-06,2019-12-06,1993-10-01,164685
2019-12-06,2019-12-06,1993-11-01,166594
2019-12-06,2019-12-06,1993-12-01,168161
2019-12-06,2019-12-06,1994-01-01,167518
2019-12-06,2019-12-06,1994-02-01,169649
2019-12-06,2019-12-06,1994-03-01,172766
2019-12-06,2019-12-06,1994-04-01,173106
2019-12-06,2019-12-06,1994-05-01,172329
2019-12-06,2019-12-06,1994-06-01,174241
2019-12-06,2019-12-06,1994-07-01,174781
2019-12-06,2019-12-06,1994-08-01,177295
2019-12-06,2019-12-06,1994-09-01,178787
2019-12-06,2019-12-06,1994-10-01,180561
2019-12-06,2019-12-06,1994-11-01,180703
2019-12-06,2019-12-06,1994-12-01,181524
2019-12-06,2019-12-06,1995-01-01,182413
2019-12-06,2019-12-06,1995-02-01,179488
2019-12-06,2019-12-06,1995-03-01,181013
2019-12-06,2019-12-06,1995-04-01,181686
2019-12-06,2019-12-06,1995-05-01,183536
2019-12-06,2019-12-06,1995-06-01,186081
2019-12-06,2019-12-06,1995-07-01,185431
2019-12-06,2019-12-06,1995-08-01,186806
2019-12-06,2019-12-06,1995-09-01,187366
2019-12-06,2019-12-06,1995-10-01,186565
2019-12-06,2019-12-06,1995-11-01,189055
2019-12-06,2019-12-06,1995-12-01,190774
2019-12-06,2019-12-06,1996-01-01,189135
2019-12-06,2019-12-06,1996-02-01,192266
2019-12-06,2019-12-06,1996-03-01,194029
2019-12-06,2019-12-06,1996-04-01,194744
2019-12-06,2019-12-06,1996-05-01,196205
2019-12-06,2019-12-06,1996-06-01,196136
2019-12-06,2019-12-06,1996-07-01,196187
2019-12-06,2019-12-06,1996-08-01,196218
2019-12-06,2019-12-06,1996-09-01,198859
2019-12-06,2019-12-06,1996-10-01,200509
2019-12-06,2019-12-06,1996-11-01,200174
2019-12-06,2019-12-06,1996-12-01,201284
2019-12-06,2019-12-06,1997-01-01,202371
2019-12-06,2019-12-06,1997-02-01,204286
2019-12-06,2019-12-06,1997-03-01,204990
2019-12-06,2019-12-06,1997-04-01,203399
2019-12-06,2019-12-06,1997-05-01,201699
2019-12-06,2019-12-06,1997-06-01,204675
2019-12-06,2019-12-06,1997-07-01,207014
2019-12-06,2019-12-06,1997-08-01,207635
2019-12-06,2019-12-06,1997-09-01,208326
2019-12-06,2019-12-06,1997-10-01,208078
2019-12-06,2019-12-06,1997-11-01,208936
2019-12-06,2019-12-06,1997-12-01,209363
2019-12-06,2019-12-06,1998-01-01,209666
2019-12-06,2019-12-06,1998-02-01,209552
2019-12-06,2019-12-06,1998-03-01,210832
2019-12-06,2019-12-06,1998-04-01,213633
2019-12-06,2019-12-06,1998-05-01,214639
2019-12-06,2019-12-06,1998-06-01,216337
2019-12-06,2019-12-06,1998-07-01,214841
2019-12-06,2019-12-06,1998-08-01,213636
2019-12-06,2019-12-06,1998-09-01,215720
2019-12-06,2019-12-06,1998-10-01,219483
2019-12-06,2019-12-06,1998-11-01,221134
2019-12-06,2019-12-06,1998-12-01,223179
2019-12-06,2019-12-06,1999-01-01,223997
2019-12-06,2019-12-06,1999-02-01,226250
2019-12-06,2019-12-06,1999-03-01,227417
2019-12-06,2019-12-06,1999-04-01,229037
2019-12-06,2019-12-06,1999-05-01,231235
2019-12-06,2019-12-06,1999-06-01,231903
2019-12-06,2019-12-06,1999-07-01,233948
2019-12-06,2019-12-06,1999-08-01,236566
2019-12-06,2019-12-06,1999-09-01,237481
2019-12-06,2019-12-06,1999-10-01,237553
2019-12-06,2019-12-06,1999-11-01,240544
2019-12-06,2019-12-06,1999-12-01,245485
2019-12-06,2019-12-06,2000-01-01,243436
2019-12-06,2019-12-06,2000-02-01,247133
2019-12-06,2019-12-06,2000-03-01,249825
2019-12-06,2019-12-06,2000-04-01,245831
2019-12-06,2019-12-06,2000-05-01,246201
2019-12-06,2019-12-06,2000-06-01,248160
2019-12-06,2019-12-06,2000-07-01,247176
2019-12-06,2019-12-06,2000-08-01,247576
2019-12-06,2019-12-06,2000-09-01,251837
2019-12-06,2019-12-06,2000-10-01,251221
2019-12-06,2019-12-06,2000-11-01,250331
2019-12-06,2019-12-06,2000-12-01,250658
2019-12-06,2019-12-06,2001-01-01,252654
2019-12-06,2019-12-06,2001-02-01,252704
2019-12-06,2019-12-06,2001-03-01,250328
2019-12-06,2019-12-06,2001-04-01,254763
2019-12-06,2019-12-06,2001-05-01,255218
2019-12-06,2019-12-06,2001-06-01,254022
2019-12-06,2019-12-06,2001-07-01,252997
2019-12-06,2019-12-06,2001-08-01,254560
2019-12-06,2019-12-06,2001-09-01,249845
2019-12-06,2019-12-06,2001-10-01,267999
2019-12-06,2019-12-06,2001-11-01,260514
2019-12-06,2019-12-06,2001-12-01,256549
2019-12-06,2019-12-06,2002-01-01,256307
2019-12-06,2019-12-06,2002-02-01,257670
2019-12-06,2019-12-06,2002-03-01,257059
2019-12-06,2019-12-06,2002-04-01,261333
2019-12-06,2019-12-06,2002-05-01,257573
2019-12-06,2019-12-06,2002-06-01,259786
2019-12-06,2019-12-06,2002-07-01,262769
2019-12-06,2019-12-06,2002-08-01,265043
2019-12-06,2019-12-06,2002-09-01,260626
2019-12-06,2019-12-06,2002-10-01,261953
2019-12-06,2019-12-06,2002-11-01,263568
2019-12-06,2019-12-06,2002-12-01,265930
2019-12-06,2019-12-06,2003-01-01,267230
2019-12-06,2019-12-06,2003-02-01,263188
2019-12-06,2019-12-06,2003-03-01,267820
2019-12-06,2019-12-06,2003-04-01,267197
2019-12-06,2019-12-06,2003-05-01,267362
2019-12-06,2019-12-06,2003-06-01,270396
2019-12-06,2019-12-06,2003-07-01,273352
2019-12-06,2019-12-06,2003-08-01,277965
2019-12-06,2019-12-06,2003-09-01,276430
2019-12-06,2019-12-06,2003-10-01,274764
2019-12-06,2019-12-06,2003-11-01,278298
2019-12-06,2019-12-06,2003-12-01,277612
2019-12-06,2019-12-06,2004-01-01,278913
2019-12-06,2019-12-06,2004-02-01,280932
2019-12-06,2019-12-06,2004-03-01,286209
2019-12-06,2019-12-06,2004-04-01,282952
2019-12-06,2019-12-06,2004-05-01,288252
2019-12-06,2019-12-06,2004-06-01,284133
2019-12-06,2019-12-06,2004-07-01,287358
2019-12-06,2019-12-06,2004-08-01,287941
2019-12-06,2019-12-06,2004-09-01,293139
2019-12-06,2019-12-06,2004-10-01,295115
2019-12-06,2019-12-06,2004-11-01,296177
2019-12-06,2019-12-06,2004-12-01,299763
2019-12-06,2019-12-06,2005-01-01,296696
2019-12-06,2019-12-06,2005-02-01,300557
2019-12-06,2019-12-06,2005-03-01,301308
2019-12-06,2019-12-06,2005-04-01,303760
2019-12-06,2019-12-06,2005-05-01,301776
2019-12-06,2019-12-06,2005-06-01,310989
2019-12-06,2019-12-06,2005-07-01,313520
2019-12-06,2019-12-06,2005-08-01,310046
2019-12-06,2019-12-06,2005-09-01,310673
2019-12-06,2019-12-06,2005-10-01,310479
2019-12-06,2019-12-06,2005-11-01,313303
2019-12-06,2019-12-06,2005-12-01,313473
2019-12-06,2019-12-06,2006-01-01,322348
2019-12-06,2019-12-06,2006-02-01,320171
2019-12-06,2019-12-06,2006-03-01,320869
2019-12-06,2019-12-06,2006-04-01,322561
2019-12-06,2019-12-06,2006-05-01,321794
2019-12-06,2019-12-06,2006-06-01,323184
2019-12-06,2019-12-06,2006-07-01,324204
2019-12-06,2019-12-06,2006-08-01,325324
2019-12-06,2019-12-06,2006-09-01,323236
2019-12-06,2019-12-06,2006-10-01,322678
2019-12-06,2019-12-06,2006-11-01,323343
2019-12-06,2019-12-06,2006-12-01,326849
2019-12-06,2019-12-06,2007-01-01,327181
2019-12-06,2019-12-06,2007-02-01,327953
2019-12-06,2019-12-06,2007-03-01,330579
2019-12-06,2019-12-06,2007-04-01,329560
2019-12-06,2019-12-06,2007-05-01,334202
2019-12-06,2019-12-06,2007-06-01,331076
2019-12-06,2019-12-06,2007-07-01,332342
2019-12-06,2019-12-06,2007-08-01,334169
2019-12-06,2019-12-06,2007-09-01,335442
2019-12-06,2019-12-06,2007-10-01,337530
2019-12-06,2019-12-06,2007-11-01,341133
2019-12-06,2019-12-06,2007-12-01,336189
2019-12-06,2019-12-06,2008-01-01,337412
2019-12-06,2019-12-06,2008-02-01,334584
2019-12-06,2019-12-06,2008-03-01,335193
2019-12-06,2019-12-06,2008-04-01,334843
2019-12-06,2019-12-06,2008-05-01,337947
